"","MDS1","MDS2","group","Country"
"1",-0.477360385991686,0.457803706511925,"1961","Albania"
"2",-0.385184090116822,0.13752253287765,"1961","Algeria"
"3",0.464977513465143,0.244660018976618,"1961","Angola"
"4",-0.36832302289362,-0.42560993457857,"1961","Antigua and Barbuda"
"5",-0.325165647485193,0.188044321898395,"1961","Argentina"
"6",-0.347830142353956,0.000461223567596641,"1961","Australia"
"7",-0.395545373042227,0.0343432054725098,"1961","Austria"
"8",-0.301609036799095,-0.230303153721171,"1961","Bahamas"
"9",0.163346671137263,-0.232298406102567,"1961","Bangladesh"
"10",-0.0759353393228901,-0.36092981935577,"1961","Barbados"
"11",-0.241835573975754,0.0898637213615403,"1961","Belgium-Luxembourg"
"12",-0.168547317884453,-0.317945809393636,"1961","Belize"
"13",0.635823328774252,0.137587979210139,"1961","Benin"
"14",-0.394520098140613,-0.210835436226258,"1961","Bermuda"
"15",-0.0784012595388773,0.129493878562993,"1961","Bolivia (Plurinational State of)"
"16",0.320624781628953,0.506791599462279,"1961","Botswana"
"17",0.059504374197189,0.0858250647913993,"1961","Brazil"
"18",0.164783539952171,-0.2864556674188,"1961","Brunei Darussalam"
"19",-0.479619908920934,0.293606169733,"1961","Bulgaria"
"20",0.784754531188276,0.15734332384849,"1961","Burkina Faso"
"21",0.831528125070959,0.334169337826081,"1961","Burundi"
"22",0.321257520212478,-0.336711452759995,"1961","Cambodia"
"23",0.616032867310338,0.192258474816046,"1961","Cameroon"
"24",-0.297834291759092,0.0620133986898962,"1961","Canada"
"25",0.3101643139244,-0.393687568606295,"1961","Cape Verde"
"26",0.878297641786636,0.131527381589731,"1961","Central African Republic"
"27",0.708808408272182,0.277504070343858,"1961","Chad"
"28",-0.424124084502745,0.154264355599654,"1961","Chile"
"29",0.121800884682586,0.433412110700666,"1961","China"
"30",0.00610145795516816,0.0763834590160349,"1961","Colombia"
"31",0.690664508903357,-0.654083071041058,"1961","Comoros"
"32",0.45051170574065,-0.0434114632906476,"1961","Congo"
"33",0.0195065427912486,0.00594458436402354,"1961","Costa Rica"
"34",0.684782672149593,-0.0861749495724283,"1961","Côte d'Ivoire"
"35",-0.0489392527999193,-0.130436854861091,"1961","Cuba"
"36",-0.283111018645048,0.130671566848031,"1961","Cyprus"
"37",-0.357558436532801,0.165137542353429,"1961","Czechoslovakia"
"38",-0.10958364267392,0.576782816851685,"1961","Democratic People's Republic of Korea"
"39",-0.421565564156134,0.0427317541365612,"1961","Denmark"
"40",-0.189272251982079,-0.5265752976311,"1961","Djibouti"
"41",-0.217779613044837,-0.369783470905554,"1961","Dominica"
"42",0.142206863693638,-0.0921289084727529,"1961","Dominican Republic"
"43",0.0537080025338702,0.0429935819931054,"1961","Ecuador"
"44",0.00434701594368131,0.2029601543766,"1961","Egypt"
"45",-0.0221389086281606,0.162245844898633,"1961","El Salvador"
"46",0.3334004131442,0.487920196200971,"1961","Ethiopia PDR"
"47",0.073331622917512,-0.475959300261824,"1961","Fiji"
"48",-0.572021139213196,0.0391875908676363,"1961","Finland"
"49",-0.264720136506506,0.193720639388208,"1961","France"
"50",-0.128085505398924,-0.230018842720916,"1961","French Polynesia"
"51",0.495884539429388,-0.134765038650455,"1961","Gabon"
"52",0.714522101900711,-0.0626472222854148,"1961","Gambia"
"53",-0.364348061599825,0.0727323267409585,"1961","Germany"
"54",0.5416651152131,-0.0705264506639799,"1961","Ghana"
"55",-0.303236554244945,0.240988440311283,"1961","Greece"
"56",-0.158949291449422,-0.332254742123954,"1961","Grenada"
"57",-0.0161564769217894,0.244706699538639,"1961","Guatemala"
"58",0.882568509891139,-0.192588661840582,"1961","Guinea"
"59",0.660314439428537,-0.297544872816923,"1961","Guinea-Bissau"
"60",-0.189628863997431,-0.232974596075595,"1961","Guyana"
"61",0.244744027321781,0.0319152962840564,"1961","Haiti"
"62",0.110573207821444,0.0905711385734092,"1961","Honduras"
"63",-0.499156019963578,0.117662965193733,"1961","Hungary"
"64",-0.542632127360937,-0.0767794214685791,"1961","Iceland"
"65",0.255803729470546,-0.00126581040835856,"1961","India"
"66",0.447198113298669,-0.398796276590755,"1961","Indonesia"
"67",-0.251995931860177,0.0335478206718019,"1961","Iran (Islamic Republic of)"
"68",-0.540478468307793,0.0681001741167847,"1961","Ireland"
"69",-0.218355983720305,0.1591519936288,"1961","Israel"
"70",-0.307439818642927,0.108030390397756,"1961","Italy"
"71",-0.139922093821371,-0.189439007524617,"1961","Jamaica"
"72",-0.0882716191756831,0.242188692412011,"1961","Japan"
"73",-0.274735343054594,0.0510438667178798,"1961","Jordan"
"74",0.419488568435738,0.310220561185915,"1961","Kenya"
"75",-0.0819791899404381,-0.898486835861815,"1961","Kiribati"
"76",-0.262245069474939,-0.12037187443817,"1961","Kuwait"
"77",0.195073853955497,-0.287193842919928,"1961","Lao People's Democratic Republic"
"78",-0.276684630866538,0.0979252047001688,"1961","Lebanon"
"79",0.0900460951544254,0.851100998145789,"1961","Lesotho"
"80",0.458832799304909,-0.297813843292179,"1961","Liberia"
"81",-0.406854327697686,0.142205852938487,"1961","Libya"
"82",0.211454917948284,-0.137290668156405,"1961","Madagascar"
"83",0.600796367195439,0.460170597555649,"1961","Malawi"
"84",0.0687554683963327,-0.220645283483047,"1961","Malaysia"
"85",0.235980933361343,-0.856802243475297,"1961","Maldives"
"86",0.592727946441835,0.0585254010536617,"1961","Mali"
"87",-0.270019541331876,-0.0496275318673449,"1961","Malta"
"88",0.414518573038071,-0.0108053922654865,"1961","Mauritania"
