Country,Year,ElementName,MDS1,MDS2
Sierra Leone,1960,Calories,0.49966196,-0.00197303
Solomon Islands,1960,Calories,0.24221129,0.719980212
South Africa,1960,Calories,-0.117526711,-0.115724803
Spain,1960,Calories,-0.240026736,-0.165037693
Sri Lanka,1960,Calories,0.055705837,0.400728274
Sudan (former),1960,Calories,0.351553215,-0.351372936
Suriname,1960,Calories,-0.112728554,0.23177465
Swaziland,1960,Calories,0.546694495,-0.495104243
Sweden,1960,Calories,-0.359600157,0.016135072
Switzerland,1960,Calories,-0.275593393,-0.033270814
Syrian Arab Republic,1960,Calories,-0.230410033,-0.299897732
Thailand,1960,Calories,0.135174162,0.539091674
Timor-Leste,1960,Calories,0.360027321,0.364905527
Togo,1960,Calories,0.653889132,0.004874311
Trinidad and Tobago,1960,Calories,-0.118227229,0.224279042
Tunisia,1960,Calories,-0.289646213,-0.285704372
Turkey,1960,Calories,-0.271274731,-0.319291003
Uganda,1960,Calories,0.679077785,-0.16510114
United Arab Emirates,1960,Calories,-0.703024817,0.358403694
United Kingdom,1960,Calories,-0.248641885,-0.062471857
United Republic of Tanzania,1960,Calories,0.499165823,-0.060405367
United States of America,1960,Calories,-0.214729806,-0.030083439
Uruguay,1960,Calories,-0.395533335,-0.076225823
USSR,1960,Calories,-0.48945697,-0.245863577
Vanuatu,1960,Calories,-0.243142079,0.646342088
Venezuela (Bolivarian Republic of),1960,Calories,-0.009645601,0.069395008
Viet Nam,1960,Calories,0.241489723,0.355989723
Yemen,1960,Calories,0.083281019,-0.556163338
Yugoslav SFR,1960,Calories,-0.321915449,-0.150580412
Zambia,1960,Calories,0.379513576,-0.293637822
Zimbabwe,1960,Calories,0.266404531,-0.4239358
Albania,1970,Calories,-0.535691523,-0.309930727
Algeria,1970,Calories,-0.278823701,-0.201098721
Angola,1970,Calories,0.408090907,0.01586854
Antigua and Barbuda,1970,Calories,-0.264124069,0.177466112
Argentina,1970,Calories,-0.303031532,-0.10581463
Australia,1970,Calories,-0.266434854,-0.046109576
Austria,1970,Calories,-0.298696887,-0.02513174
Bahamas,1970,Calories,-0.232152314,0.138898496
Bangladesh,1970,Calories,0.163578062,0.350140402
Barbados,1970,Calories,-0.140303637,0.13282339
Belgium-Luxembourg,1970,Calories,-0.23190597,-0.023678757
Belize,1970,Calories,-0.276233695,0.28034777
Benin,1970,Calories,0.54756699,0.003231313
Bermuda,1970,Calories,-0.442094715,0.131299498
Bolivia (Plurinational State of),1970,Calories,-0.078792058,-0.00451068
Botswana,1970,Calories,0.24851257,-0.402942268
Brazil,1970,Calories,-0.036694521,0.017545249
Brunei Darussalam,1970,Calories,-0.04351922,0.131808061
Bulgaria,1970,Calories,-0.42598136,-0.164123266
Burkina Faso,1970,Calories,0.712097434,-0.325461687
Burundi,1970,Calories,0.907995647,0.17750589
Côte d’Ivoire,1970,Calories,0.458986048,0.139352009
Cambodia,1970,Calories,0.353262026,0.462522256
Cameroon,1970,Calories,0.492280303,-0.027505924
Canada,1970,Calories,-0.238528657,-0.042916963
Cape Verde,1970,Calories,0.104643663,0.234256572
Central African Republic,1970,Calories,0.771317404,0.009408572
Chad,1970,Calories,0.689213579,-0.334751323
Chile,1970,Calories,-0.332663689,-0.116200173
China,1970,Calories,0.082185988,-0.221108643
Colombia,1970,Calories,0.022994467,0.035110007
Comoros,1970,Calories,0.543819448,0.698955615
Congo,1970,Calories,0.425475669,0.240022528
Costa Rica,1970,Calories,-0.009268582,0.207496059
Cuba,1970,Calories,-0.169985105,0.218976375
Cyprus,1970,Calories,-0.240554356,-0.128376342
Czechoslovakia,1970,Calories,-0.34676909,-0.071340948
Democratic People's Republic of Korea,1970,Calories,-0.242411863,-0.489014965
Denmark,1970,Calories,-0.367336429,-0.003364513
Djibouti,1970,Calories,-0.397531138,0.438429355
Dominica,1970,Calories,-0.234227803,0.381374559
Dominican Republic,1970,Calories,0.047290193,0.110083343
Ecuador,1970,Calories,-0.021250412,0.069213749
Egypt,1970,Calories,-0.02711097,-0.398648211
El Salvador,1970,Calories,0.063619192,0.023094625
Ethiopia PDR,1970,Calories,0.367532825,-0.512199711
Fiji,1970,Calories,-0.119142243,0.179584914
Finland,1970,Calories,-0.421305896,0.020339185
France,1970,Calories,-0.238701866,-0.05127082
French Polynesia,1970,Calories,-0.190954092,0.100685743
Gabon,1970,Calories,0.30264445,0.294204607
Gambia,1970,Calories,0.64871611,-0.172673219
Germany,1970,Calories,-0.317385918,-0.017390558
Ghana,1970,Calories,0.532731159,0.105291724
Greece,1970,Calories,-0.307000413,-0.178381353
Grenada,1970,Calories,-0.14012889,0.233544001
Guatemala,1970,Calories,0.015073286,-0.318514051
Guinea,1970,Calories,0.758379338,0.293195049
Guinea-Bissau,1970,Calories,0.519948393,0.183763683
Guyana,1970,Calories,-0.194524801,0.253408252
Haiti,1970,Calories,0.270728155,0.165609713
Honduras,1970,Calories,0.130304484,0.099010535
Hungary,1970,Calories,-0.376014741,-0.081004747
Iceland,1970,Calories,-0.466710469,0.068695569
India,1970,Calories,0.150063611,-0.101639231
Indonesia,1970,Calories,0.262739037,0.381859892
Iran (Islamic Republic of),1970,Calories,-0.21688868,-0.198690815
Ireland,1970,Calories,-0.338004573,-0.010733014
Israel,1970,Calories,-0.190614598,-0.104180356
Italy,1970,Calories,-0.262775073,-0.102506785
Jamaica,1970,Calories,-0.091706333,0.12763801
Japan,1970,Calories,-0.122828812,-0.02679805
Jordan,1970,Calories,-0.18432903,-0.190354472
Kenya,1970,Calories,0.279573846,-0.094441239
Kiribati,1970,Calories,-0.210248073,0.603820039
Kuwait,1970,Calories,-0.278250154,0.074778541
Lao People's Democratic Republic,1970,Calories,0.280474725,0.417558042
Lebanon,1970,Calories,-0.187703687,-0.111385868
Lesotho,1970,Calories,-0.034252054,-0.592407837
Liberia,1970,Calories,0.312338644,0.376192553
Libya,1970,Calories,-0.300269529,-0.199009329
Madagascar,1970,Calories,0.199128874,0.172998886
Malawi,1970,Calories,0.511797305,-0.244047797
Malaysia,1970,Calories,0.028413994,0.120555614
Maldives,1970,Calories,0.150197242,0.824356924
Mali,1970,Calories,0.576239322,-0.250879777
Malta,1970,Calories,-0.26832564,0.008432695
Mauritania,1970,Calories,0.405682853,-0.536088135
Mauritius,1970,Calories,-0.174818677,0.175468937
Mexico,1970,Calories,-0.029781424,-0.06011722
Mongolia,1970,Calories,-0.892026508,0.24168493
Morocco,1970,Calories,-0.23483431,-0.249680096
Mozambique,1970,Calories,0.328842505,-0.071065855
Myanmar,1970,Calories,0.457730811,-0.212979048
Namibia,1970,Calories,0.48768113,-0.888169719
Nepal,1970,Calories,0.430325517,0.630152867
Netherlands,1970,Calories,-0.282414329,-0.035220634
New Caledonia,1970,Calories,-0.281169319,0.266475279
New Zealand,1970,Calories,-0.352860748,-0.01814826
Nicaragua,1970,Calories,0.08070026,0.194133266
Niger,1970,Calories,0.650211375,-0.485286297
Nigeria,1970,Calories,0.558732022,-0.096821502
Norway,1970,Calories,-0.347970969,0.02299986
Pakistan,1970,Calories,0.045267728,-0.270731243
Panama,1970,Calories,-0.082957507,0.11539764
Paraguay,1970,Calories,0.133146626,-0.00947396
Peru,1970,Calories,-0.133774936,0.044263368
Philippines,1970,Calories,0.048166296,0.289803726
Poland,1970,Calories,-0.458473278,-0.101402808
Portugal,1970,Calories,-0.191123917,-0.120932538
Republic of Korea,1970,Calories,-0.123173635,-0.423216717
Romania,1970,Calories,-0.385168831,-0.176782212
Rwanda,1970,Calories,1.013628255,0.086697822
Saint Kitts and Nevis,1970,Calories,-0.152428624,0.344843122
