"","x"
"1",0.674090987881904
"2",0.465688143528054
"3",0.53212902619216
"4",0.674583135572345
"5",0.375634483130895
"6",0.344048205494228
"7",0.387879776821682
"8",0.353986187417987
"9",0.465396082932729
"10",0.308762995279231
"11",0.262625527792199
"12",0.475425355466729
"13",0.595640352454307
"14",0.436890226001722
"15",0.111909229857425
"16",0.627355926516679
"17",0.0228244564679562
"18",0.2350818517223
"19",0.572300869039436
"20",0.858377507807524
"21",0.951223604911369
"22",0.478254216246887
"23",0.557979206030952
"24",0.310894983514409
"25",0.440195096999014
"26",0.810229631247161
"27",0.832690800762802
"28",0.449726126962503
"29",0.437116390670289
"30",0.0862679535886891
"31",0.87595569677228
"32",0.489396233641738
"33",0.184599270807839
"34",0.604083171482951
"35",0.141438541376876
"36",0.355146426435592
"37",0.392002874343553
"38",0.664412902150482
"39",0.436947294928216
"40",0.883871474237857
"41",0.402259611520076
"42",0.141314644232254
"43",0.0236667245939551
"44",0.419468475643437
"45",0.215811933777598
"46",0.708320258783846
"47",0.419034249083369
"48",0.572754418528301
"49",0.321563086303165
"50",0.23913694076408
"51",0.583858960139186
"52",0.73689807514644
"53",0.374924703105089
"54",0.449122664638481
"55",0.422270290565929
"56",0.32806111850811
"57",0.0936963211156249
"58",0.822707551300529
"59",0.656771812321826
"60",0.292026633685873
"61",0.311105811420328
"62",0.316565325939648
"63",0.516483297089135
"64",0.550535830185944
"65",0.26982962477666
"66",0.518336081638862
"67",0.445175092917721
"68",0.530165878128331
"69",0.281871620421833
"70",0.350430722317244
"71",0.267780394836873
"72",0.217061060717958
"73",0.439917448526422
"74",0.417962077901659
"75",0.858946345312723
"76",0.391382946952929
"77",0.484947128010786
"78",0.36183197111827
"79",0.832887183329339
"80",0.503069409667726
"81",0.60806643763005
"82",0.217336131212603
"83",0.684366927738868
"84",0.151159732712253
"85",0.904793570784866
"86",0.681616441518051
"87",0.285417285119042
"88",0.836729542901618
"89",0.241767338699831
"90",0.115015994339335
"91",0.9817570486488
"92",0.354558633066337
"93",0.434313892964703
"94",0.468836670188279
"95",0.943864290728302
"96",0.722515195972237
"97",0.356237556294632
"98",0.429230240078705
"99",0.490100737820122
"100",0.439933653634117
"101",0.823781755977976
"102",0.682829920423846
"103",0.421663684503639
"104",0.342725896754166
"105",0.134219567038039
"106",0.0490697945903032
"107",0.192437533214957
"108",0.25882183963639
"109",0.636749010452459
"110",0.376661261299956
"111",0.730454989811472
"112",0.576721084691261
"113",1.19659967278644
"114",0.41600659020014
"115",0.477704452868002
"116",0.303989572455971
"117",0.784649827489738
"118",0.503936082682232
"119",0.597827776216391
"120",0.37831105431472
"121",0.30740036298797
"122",0.474458676003788
"123",0.724702910349358
"124",0.172631795653172
"125",0.360821312119773
"126",0.35356879625189
"127",0.515014255118265
"128",0.264557672586717
"129",0.674831119260678
"130",0.426050601099386
"131",0.297828393706876
"132",0.465438095263698
"133",0.566084523078489
"134",0.620446476799605
"135",0.623596181790478
"136",0.240158227478088
"137",0.449447469815994
"138",0.474384204047553
"139",0.675786680341414
"140",1.24696207909048
"141",0.294235275298369
"142",0.506455337658384
"143",0.253961036919888
"144",0.427649335203458
"145",0.638287644917351
"146",0.659290999451303
"147",0.0696551512231298
"148",0.375043687457856
"149",0.754285831093581
"150",0.42565741816231
"151",0.556047809683962
"152",0.554138890168791
"153",0.555733190400859
"154",0.435188625198474
"155",0.341124097999437
"156",0.327688454631957
"157",0.336248420940126
"158",0.26693379317885
"159",0.320192051029792
"160",0.266510911132347
"161",0.328403251918906
"162",0.174061626533027
"163",0.269363504556759
"164",0.393217252542286
"165",0.507943850998022
"166",0.458987147069781
"167",0.0710392669679813
"168",0.368427820328685
"169",0.0927775257636403
"170",0.0458144996759565
"171",0.387023311639663
"172",0.680730829666272
"173",0.834203851039502
"174",0.643783790329217
"175",0.402400807337621
"176",0.254103645772292
"177",0.232135206052667
"178",0.701826584800168
"179",0.743198015056605
"180",0.364422877474938
"181",0.19069967555633
"182",0.0137694335726613
"183",0.649861861387789
"184",0.360485728865738
"185",0.117507373389564
