"","1961","1985","2007"
"NMDS1",0.0360783103587075,-0.00278010870120567,-0.0332982016575019
"NMDS2",0.0220369884549006,0.015083396462247,-0.0371203849171476
"Area",2.57529527582147,1.59443688524764,0.797460463524534
