"","MDS1","MDS2","group","Country","ElementName"
"1",-0.522925808482172,-0.346053434651165,1960,"Albania","Calories"
"2",-0.327517554923798,-0.212312355893074,1960,"Algeria","Calories"
"3",0.516587003807037,0.0361685389293813,1960,"Angola","Calories"
"4",-0.330913418428817,0.228619382985442,1960,"Antigua and Barbuda","Calories"
"5",-0.301968936181232,-0.120838650119909,1960,"Argentina","Calories"
"6",-0.301914780849078,-0.0267794196631894,1960,"Australia","Calories"
"7",-0.331682953621578,-0.0449533663512714,1960,"Austria","Calories"
"8",-0.278902585268179,0.141208668727556,1960,"Bahamas","Calories"
"9",0.193745388959675,0.381758959792942,1960,"Bangladesh","Calories"
"10",-0.154304338167479,0.203918654500898,1960,"Barbados","Calories"
"11",-0.219889077575318,-0.03935337718368,1960,"Belgium-Luxembourg","Calories"
"12",-0.281736455177286,0.295228073823142,1960,"Belize","Calories"
"13",0.628538087345019,0.00657197773913765,1960,"Benin","Calories"
"14",-0.410677369106076,0.156882802111535,1960,"Bermuda","Calories"
"15",-0.0709965887747524,-0.015381644084032,1960,"Bolivia (Plurinational State of)","Calories"
"16",0.329091664063495,-0.571951312541485,1960,"Botswana","Calories"
"17",0.0395639761094429,0.0196940184484579,1960,"Brazil","Calories"
"18",-0.0086027967547021,0.157368606786289,1960,"Brunei Darussalam","Calories"
"19",-0.419016637592755,-0.205141200933189,1960,"Bulgaria","Calories"
"20",0.804686322387377,-0.357262933124083,1960,"Burkina Faso","Calories"
"21",0.957064408911939,0.191851354947123,1960,"Burundi","Calories"
"22",0.542199420089686,0.154218340571196,1960,"Côte d'Ivoire","Calories"
"23",0.307435724406163,0.493329239759601,1960,"Cambodia","Calories"
"24",0.560789532102463,-0.031541012006158,1960,"Cameroon","Calories"
"25",-0.26301862154531,-0.0399061154596604,1960,"Canada","Calories"
"26",0.277652562166955,0.300568894363862,1960,"Cape Verde","Calories"
"27",0.825283215852672,-0.0399679552147755,1960,"Central African Republic","Calories"
"28",0.727771028002737,-0.374572791547308,1960,"Chad","Calories"
"29",-0.384293302465371,-0.131847098920633,1960,"Chile","Calories"
"30",0.129067847315933,-0.30317569961394,1960,"China","Calories"
"31",0.0497722517804759,0.0589616530392879,1960,"Colombia","Calories"
"32",0.514059631053181,0.693211024170436,1960,"Comoros","Calories"
"33",0.478982910754396,0.264052605898375,1960,"Congo","Calories"
"34",0.0681413480156764,0.191914973466255,1960,"Costa Rica","Calories"
"35",-0.106693029919085,0.121664528020655,1960,"Cuba","Calories"
"36",-0.249634636356825,-0.165748324637817,1960,"Cyprus","Calories"
"37",-0.333213715138822,-0.110717541128267,1960,"Czechoslovakia","Calories"
"38",-0.192503685358068,-0.574114419397119,1960,"Democratic People's Republic of Korea","Calories"
"39",-0.402214719546166,0.000815066859601301,1960,"Denmark","Calories"
"40",-0.542557643059309,0.627299420961248,1960,"Djibouti","Calories"
"41",-0.232515340311981,0.354101694273881,1960,"Dominica","Calories"
"42",0.0734569316608168,0.110054174580136,1960,"Dominican Republic","Calories"
"43",0.0293445232415678,0.0348928874517781,1960,"Ecuador","Calories"
"44",0.0363437244759266,-0.404942543138312,1960,"Egypt","Calories"
"45",-0.0355898474730764,0.258272841435965,1960,"El Salvador","Calories"
"46",0.36695625825495,-0.556903316678073,1960,"Ethiopia PDR","Calories"
"47",-0.0432297929534168,0.323953342541773,1960,"Fiji","Calories"
"48",-0.474781231826739,0.0228405131908067,1960,"Finland","Calories"
"49",-0.269368367667547,-0.0750397571127259,1960,"France","Calories"
"50",-0.198464397092606,0.133707083009605,1960,"French Polynesia","Calories"
"51",0.438714936138922,0.329910628196021,1960,"Gabon","Calories"
"52",0.767139671140394,-0.222987876193107,1960,"Gambia","Calories"
"53",-0.329010562005447,-0.0106726308734494,1960,"Germany","Calories"
"54",0.526427057527131,0.137449037257857,1960,"Ghana","Calories"
"55",-0.295857606091475,-0.219191196909717,1960,"Greece","Calories"
"56",-0.170542763369437,0.259689521688739,1960,"Grenada","Calories"
"57",0.00324984659275996,-0.348718603697409,1960,"Guatemala","Calories"
"58",0.803258463471476,0.272172408022953,1960,"Guinea","Calories"
"59",0.578842638688741,0.259986924610806,1960,"Guinea-Bissau","Calories"
"60",-0.185676071612245,0.216475471157085,1960,"Guyana","Calories"
"61",0.278813151592158,0.195043239453606,1960,"Haiti","Calories"
"62",0.191563807652727,0.143385646560609,1960,"Honduras","Calories"
"63",-0.391728016904464,-0.102044124572538,1960,"Hungary","Calories"
"64",-0.496528843374357,0.085425134148322,1960,"Iceland","Calories"
"65",0.24334367426548,-0.115736698635858,1960,"India","Calories"
"66",0.299358126413013,0.441185813056015,1960,"Indonesia","Calories"
"67",-0.198070643988736,-0.272577336807951,1960,"Iran (Islamic Republic of)","Calories"
"68",-0.421762225536989,-0.0447759556922913,1960,"Ireland","Calories"
"69",-0.202842684643578,-0.107767782462843,1960,"Israel","Calories"
"70",-0.261935464309567,-0.143058247202562,1960,"Italy","Calories"
"71",-0.121615665111443,0.163679228639667,1960,"Jamaica","Calories"
"72",-0.0972920451300431,-0.0612221016822517,1960,"Japan","Calories"
"73",-0.199396530998919,-0.228195067301972,1960,"Jordan","Calories"
"74",0.347939188584153,-0.119319611763008,1960,"Kenya","Calories"
"75",-0.224495508012867,0.882676772478388,1960,"Kiribati","Calories"
"76",-0.197471807011909,-0.218879398441319,1960,"Kuwait","Calories"
"77",0.221944943169233,0.46945313627718,1960,"Lao People's Democratic Republic","Calories"
"78",-0.196973792673014,-0.144805270194456,1960,"Lebanon","Calories"
