"","MDS1","MDS2","group","Country"
"1",-0.410885269365456,-0.510759293648909,"1961","Albania"
"2",-0.339018799260479,-0.264626279459887,"1961","Algeria"
"3",0.734605068142648,0.0393952114582976,"1961","Angola"
"4",-0.607521693834409,0.449591372274966,"1961","Antigua and Barbuda"
"5",-0.343628094040734,-0.041885815351414,"1961","Argentina"
"6",-0.324571471506367,0.0114416190890782,"1961","Australia"
"7",-0.450571652141323,0.0291857294161438,"1961","Austria"
"8",-0.219991388174059,0.138088342337102,"1961","Bahamas"
"9",0.0957498108083306,-0.422548200637207,"1961","Bangladesh"
"10",0.0433429765113295,0.190739174872753,"1961","Barbados"
"11",-0.495401167832302,0.031946384921084,"1961","Belgium-Luxembourg"
"12",-0.185345077102411,0.300594563172964,"1961","Belize"
"13",0.736042938076717,-0.0625715420260009,"1961","Benin"
"14",-0.351696693259229,0.097746986881239,"1961","Bermuda"
"15",-0.0784895407912081,0.0185404020432642,"1961","Bolivia (Plurinational State of)"
"16",0.545139418630034,-0.636016241662198,"1961","Botswana"
"17",0.0434636071058196,0.0570180133857691,"1961","Brazil"
"18",0.130070458756769,0.179531545691815,"1961","Brunei Darussalam"
"19",-0.416191869469466,-0.27713859373544,"1961","Bulgaria"
"20",0.71227923388039,-0.477375536418869,"1961","Burkina Faso"
"21",0.842713097584602,0.227907506944734,"1961","Burundi"
"22",0.538725545363694,0.395208682980363,"1961","Cambodia"
"23",0.637112057289491,-0.0949173841517787,"1961","Cameroon"
"24",-0.353137120467187,0.0421460366971284,"1961","Canada"
"25",0.495707562872036,0.147813831955503,"1961","Cape Verde"
"26",0.938446632320082,-0.0256058988929975,"1961","Central African Republic"
"27",0.677729199187694,-0.565929920761265,"1961","Chad"
"28",-0.433310972817158,-0.0889970009878734,"1961","Chile"
"29",0.06151801967762,-0.525615961670387,"1961","China"
"30",-0.0156110777595859,0.229562177619958,"1961","Colombia"
"31",0.604289581958734,0.524940164115232,"1961","Comoros"
"32",0.588684179852452,0.304818694547132,"1961","Congo"
"33",0.057038297848299,0.297756670662471,"1961","Costa Rica"
"34",0.735513264417869,0.0859908955787537,"1961","Côte d'Ivoire"
"35",-0.0424118088667107,0.106845052072866,"1961","Cuba"
"36",-0.337024991131215,-0.171979663788767,"1961","Cyprus"
"37",-0.559795281383128,-0.0159660227792608,"1961","Czechoslovakia"
"38",0.39944299586867,0.621863332149884,"1961","Democratic People's Republic of Korea"
"39",-0.592589375752112,0.074857197736283,"1961","Denmark"
"40",-0.481869744938764,0.696965595922776,"1961","Djibouti"
"41",-0.186977154736686,0.435171250968277,"1961","Dominica"
"42",0.0276398572944996,0.196199255678966,"1961","Dominican Republic"
"43",0.0649379704771751,0.083329550350852,"1961","Ecuador"
"44",0.028671344615868,-0.341273260133014,"1961","Egypt"
"45",0.0556897939868173,-0.0834959507543171,"1961","El Salvador"
"46",0.296974072520862,-0.703749261928598,"1961","Ethiopia PDR"
"47",-0.0314398886961356,0.507954842811327,"1961","Fiji"
"48",-0.648920569044348,0.0499444277374456,"1961","Finland"
"49",-0.371768133215519,-0.0177584165542771,"1961","France"
"50",-0.150246914808145,0.316488279441352,"1961","French Polynesia"
"51",0.563845220006983,0.360502143401418,"1961","Gabon"
"52",0.771182833801999,-0.373961038568804,"1961","Gambia"
"53",-0.472756211005515,0.0191158047468536,"1961","Germany"
"54",0.644207983969738,0.0624814444718261,"1961","Ghana"
"55",-0.386824334936231,-0.146246717351863,"1961","Greece"
"56",-0.139479428626586,0.404347700110641,"1961","Grenada"
"57",0.121853508524123,-0.123342314527372,"1961","Guatemala"
"58",0.792905762550455,0.179839576457704,"1961","Guinea"
"59",0.623380284210416,-0.00505139584444067,"1961","Guinea-Bissau"
"60",-0.187998869992828,0.228496147667199,"1961","Guyana"
"61",0.418645932676949,0.143908105641204,"1961","Haiti"
"62",0.487235436846721,0.283521606298143,"1961","Honduras"
"63",-0.545266624793872,-0.126576358136644,"1961","Hungary"
"64",-0.653419942632119,0.13836704502252,"1961","Iceland"
"65",0.197498156504104,-0.266864571457157,"1961","India"
"66",0.479429546184702,0.395373326405243,"1961","Indonesia"
"67",-0.293946880060582,-0.371491050835087,"1961","Iran (Islamic Republic of)"
"68",-0.567111993592155,-0.0838889909328111,"1961","Ireland"
"69",-0.368765984341853,-0.120995716950307,"1961","Israel"
"70",-0.35819620957397,-0.0830731095822562,"1961","Italy"
"71",-0.127021993731862,0.221049613942721,"1961","Jamaica"
"72",-0.184479294904506,-0.349465030773336,"1961","Japan"
"73",-0.343001188834098,-0.327327287615036,"1961","Jordan"
"74",0.465215600139653,-0.139613226999315,"1961","Kenya"
"75",-0.102149387369106,0.790048110076999,"1961","Kiribati"
"76",-0.259506993130626,-0.197998370174047,"1961","Kuwait"
"77",0.285240838614257,0.457280980139308,"1961","Lao People's Democratic Republic"
"78",-0.3967145641698,-0.175999191663371,"1961","Lebanon"
"79",0.110059827635253,-0.79807373804606,"1961","Lesotho"
"80",0.612283105062504,0.46110395772004,"1961","Liberia"
"81",-0.432630163124702,-0.30763886631105,"1961","Libya"
"82",0.37716147673685,0.218920299667418,"1961","Madagascar"
"83",0.51835633212588,-0.232559853807918,"1961","Malawi"
"84",0.107157949191197,0.222139573545046,"1961","Malaysia"
"85",0.180013490556271,0.793071666382406,"1961","Maldives"
"86",0.513707703928277,-0.2980345864091,"1961","Mali"
"87",-0.288587463949737,-0.0204430772918455,"1961","Malta"
"88",0.501877964390477,-0.835209504593431,"1961","Mauritania"
"89",-0.0851949740888463,0.31810809170333,"1961","Mauritius"
