Year,GlobalMean,Measurement,FoodGroup,Unit
1963,0.511184211,Fat,Fruits,g/capita/day
1963,5.286184211,Fat,Grains,g/capita/day
1963,0.004605263,Fat,Miscellaneous,g/capita/day
1963,20.55986842,Fat,Oils,g/capita/day
1963,0.344078947,Fat,Pulses,g/capita/day
1963,0.357894737,Fat,Spices & stimulants,g/capita/day
1963,0.3625,Fat,Starchy roots,g/capita/day
1963,0.011842105,Fat,Sweeteners,g/capita/day
1963,0.264473684,Fat,Vegetables,g/capita/day
1963,102.68385,Food Weight,Alcoholic beverages,g/capita/day
1963,350.4325883,Food Weight,Animal products,g/capita/day
1963,163.2858688,Food Weight,Fruits,g/capita/day
1963,327.4315068,Food Weight,Grains,g/capita/day
1963,0,Food Weight,Miscellaneous,g/capita/day
1963,48.21377073,Food Weight,Oils,g/capita/day
1963,18.95277578,Food Weight,Pulses,g/capita/day
1963,7.395457823,Food Weight,Spices & stimulants,g/capita/day
1963,236.7483778,Food Weight,Starchy roots,g/capita/day
1963,66.92862293,Food Weight,Sweeteners,g/capita/day
1963,134.5656092,Food Weight,Vegetables,g/capita/day
1963,0.807236842,Protein,Alcoholic beverages,g/capita/day
1963,23.10394737,Protein,Animal products,g/capita/day
1963,0.980921053,Protein,Fruits,g/capita/day
1963,25.83157895,Protein,Grains,g/capita/day
1963,0.032236842,Protein,Miscellaneous,g/capita/day
1963,1.671052632,Protein,Oils,g/capita/day
1963,4.128289474,Protein,Pulses,g/capita/day
1963,0.555263158,Protein,Spices & stimulants,g/capita/day
1963,2.953289474,Protein,Starchy roots,g/capita/day
1963,0.025657895,Protein,Sweeteners,g/capita/day
1963,1.656578947,Protein,Vegetables,g/capita/day
1964,82.59210526,Calories,Alcoholic beverages,kcal/capita/day
1964,391.4671053,Calories,Animal products,kcal/capita/day
1964,89.34868421,Calories,Fruits,kcal/capita/day
1964,1001.092105,Calories,Grains,kcal/capita/day
1964,0.986842105,Calories,Miscellaneous,kcal/capita/day
1964,199.8421053,Calories,Oils,kcal/capita/day
1964,64.40789474,Calories,Pulses,kcal/capita/day
1964,8.763157895,Calories,Spices & stimulants,kcal/capita/day
1964,208.1578947,Calories,Starchy roots,kcal/capita/day
1964,228.4144737,Calories,Sweeteners,kcal/capita/day
1964,33.23684211,Calories,Vegetables,kcal/capita/day
1964,0.092105263,Fat,Alcoholic beverages,g/capita/day
1964,28.53026316,Fat,Animal products,g/capita/day
1964,0.519078947,Fat,Fruits,g/capita/day
1964,5.394078947,Fat,Grains,g/capita/day
1964,0.005921053,Fat,Miscellaneous,g/capita/day
1964,20.71447368,Fat,Oils,g/capita/day
1964,0.344736842,Fat,Pulses,g/capita/day
1964,0.378289474,Fat,Spices & stimulants,g/capita/day
1964,0.359868421,Fat,Starchy roots,g/capita/day
1964,0.011842105,Fat,Sweeteners,g/capita/day
1964,0.268421053,Fat,Vegetables,g/capita/day
1964,106.8619322,Food Weight,Alcoholic beverages,g/capita/day
1964,354.2357606,Food Weight,Animal products,g/capita/day
1964,168.4354722,Food Weight,Fruits,g/capita/day
1964,331.0454218,Food Weight,Grains,g/capita/day
1964,0,Food Weight,Miscellaneous,g/capita/day
1964,48.42105263,Food Weight,Oils,g/capita/day
1964,19.04470079,Food Weight,Pulses,g/capita/day
1964,7.489185292,Food Weight,Spices & stimulants,g/capita/day
1964,235.7570296,Food Weight,Starchy roots,g/capita/day
1964,68.40663302,Food Weight,Sweeteners,g/capita/day
1964,136.4077145,Food Weight,Vegetables,g/capita/day
1964,0.820394737,Protein,Alcoholic beverages,g/capita/day
1964,23.36381579,Protein,Animal products,g/capita/day
1964,1.011184211,Protein,Fruits,g/capita/day
1964,26.12894737,Protein,Grains,g/capita/day
1964,0.035526316,Protein,Miscellaneous,g/capita/day
1964,1.694078947,Protein,Oils,g/capita/day
1964,4.141447368,Protein,Pulses,g/capita/day
1964,0.563157895,Protein,Spices & stimulants,g/capita/day
1964,2.95,Protein,Starchy roots,g/capita/day
1964,0.025,Protein,Sweeteners,g/capita/day
1964,1.682894737,Protein,Vegetables,g/capita/day
1965,83.21710526,Calories,Alcoholic beverages,kcal/capita/day
1965,395.1184211,Calories,Animal products,kcal/capita/day
1965,88.01315789,Calories,Fruits,kcal/capita/day
1965,1002.263158,Calories,Grains,kcal/capita/day
1965,1.25,Calories,Miscellaneous,kcal/capita/day
1965,204.7434211,Calories,Oils,kcal/capita/day
1965,64.48026316,Calories,Pulses,kcal/capita/day
1965,8.875,Calories,Spices & stimulants,kcal/capita/day
1965,209.9539474,Calories,Starchy roots,kcal/capita/day
1965,236.9934211,Calories,Sweeteners,kcal/capita/day
1965,32.82894737,Calories,Vegetables,kcal/capita/day
