"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"NMDS1",0.094220446252576,0.0875423562127246,0.0937216164647647,0.0896843719829629,0.081669755155807,0.0753478970806994,0.0570977621936058,0.0623232328936832,0.0639528557622614,0.0523951138110162,0.0512106578590262,0.0447396711272546,0.0483659766630627,0.0397555058766475,0.0404156508390544,0.0390218983250781,0.0284912771504288,0.0201042728318917,0.019608336494902,0.0122191377297125,0.0108270242937563,0.00261358360010936,-0.00474345900511143,-0.00409143010599586,-0.00654436789738001,-0.00363124191408913,-0.0110784087608749,-0.013676791959641,-0.017774572458265,-0.0165706511411544,-0.0178630099278104,-0.0297079491060899,-0.0290086771742799,-0.032252939605103,-0.0365212878345498,-0.0391932093324849,-0.0521426539976058,-0.0495930243123167,-0.0575324625473603,-0.064953893892379,-0.0608719492335856,-0.0629412857012294,-0.0653417984089184,-0.0684486828553695,-0.0739590420225765,-0.0720354704688098,-0.0760353027320179,-0.0719488860751503,-0.0768659521308763
"NMDS2",0.0182856853607274,0.00796640275243904,0.00868404125911738,0.0219923386501548,0.0273671424950069,0.0119638874913168,0.0204012828812591,0.021430609582812,0.00984002155055888,0.00505730023110036,0.00797813271266778,0.0196348612994876,0.0153363562155157,0.0112044598832339,0.0169679070572546,0.0267660476567307,0.00926001036953201,0.01520243853425,0.00788093906951786,0.0159825444094148,0.0203673449795582,0.0110386224550988,0.00375721399169074,-0.000534226981848133,-0.0038020345884963,-0.0083544689687563,-0.00858166107713039,-0.00842817340058761,-0.012503025140085,-0.0158707917961025,-0.00745677301081001,-0.00821551246476755,-0.00569025315103433,-0.0119327005248523,-0.0132461866161142,-0.0219328782137123,-0.0130135629748006,-0.0197805672307953,-0.0193626234128345,-0.0207685163599314,-0.0159919441558168,-0.012897297927015,-0.0162945884351071,-0.0180163309476612,-0.0204634147788986,-0.0181972196528186,-0.00952819053621478,-0.00883298843638986,-0.0146696601058646
"Area",3.30470153205134,3.25157248079514,3.18467118525176,3.06453448677702,2.99114227471285,2.97618110798442,2.90940783294544,2.8454137066435,2.85225486144703,2.76371618261113,2.75377615225365,2.68238754168902,2.58730160505068,2.58587383761385,2.56674118760666,2.51493882441673,2.4979187167767,2.41541209610063,2.29263441361741,2.28890577753338,2.24355954558163,2.1980514742691,2.13243606540002,2.14928793680057,2.1348532377549,2.07442291379687,2.07028362783097,2.00640964899343,1.91206516160221,1.84564562825301,1.8136922311701,1.72670820290196,1.72277666728287,1.64014299771675,1.57136017649437,1.55677058043991,1.4225159968702,1.44698774249665,1.39554478411147,1.31568887597517,1.29825292702009,1.25857693739535,1.22971452300338,1.23197682312761,1.20041728322371,1.21169586141789,1.17502382655643,1.20753330436448,1.23138418760108
