"","MDS1","MDS2","group","Country","meanMDS1","meanMDS2","DistMDS1","DistMDS2","PyDist","Year"
"1",-0.643194297435807,-0.366943173848186,"1961","Albania",0.094220446252576,0.0182856853607274,0.737414743688383,0.385228859208913,0.83197462592101,"1961"
"2",-0.430827701228019,-0.441188801829372,"1961","Algeria",0.094220446252576,0.0182856853607274,0.525048147480595,0.4594744871901,0.697705067740954,"1961"
"3",0.545188996195929,-0.155429344136304,"1961","Angola",0.094220446252576,0.0182856853607274,0.450968549943353,0.173715029497031,0.483269639550391,"1961"
"4",-0.15206134132522,0.707124108746786,"1961","Antigua and Barbuda",0.094220446252576,0.0182856853607274,0.246281787577796,0.688838423386059,0.731541586258434,"1961"
"5",-0.36558371697134,-0.223949232219492,"1961","Argentina",0.094220446252576,0.0182856853607274,0.459804163223916,0.242234917580219,0.519709172338858,"1961"
"6",-0.348346305475557,0.0457596942845421,"1961","Australia",0.094220446252576,0.0182856853607274,0.442566751728133,0.0274740089238147,0.443418708335064,"1961"
"7",-0.488833571428863,0.104588105513999,"1961","Austria",0.094220446252576,0.0182856853607274,0.583054017681439,0.0863024201532721,0.58940656194072,"1961"
"8",-0.410056808232615,0.390322065191855,"1961","Bahamas",0.094220446252576,0.0182856853607274,0.504277254485191,0.372036379831127,0.62666308117598,"1961"
"9",0.222630664003165,0.245817031309353,"1961","Bangladesh",0.094220446252576,0.0182856853607274,0.128410217750589,0.227531345948626,0.261265568745571,"1961"
"10",0.062718613405185,0.568704249404333,"1961","Barbados",0.094220446252576,0.0182856853607274,0.031501832847391,0.550418564043605,0.551319291442418,"1961"
"11",-0.22664715390635,-0.0344060367137818,"1961","Belgium-Luxembourg",0.094220446252576,0.0182856853607274,0.320867600158926,0.0526917220745092,0.32516524169555,"1961"
"12",-0.0970608265917259,0.574590264203472,"1961","Belize",0.094220446252576,0.0182856853607274,0.191281272844302,0.556304578842745,0.588271459262082,"1961"
"13",0.632576156090215,-0.12513579401294,"1961","Benin",0.094220446252576,0.0182856853607274,0.538355709837639,0.143421479373667,0.557132471734075,"1961"
"14",-0.331125750772211,0.328408344044449,"1961","Bermuda",0.094220446252576,0.0182856853607274,0.425346197024787,0.310122658683722,0.5263985664423,"1961"
"15",-0.0381212211612989,-0.323401074580376,"1961","Bolivia (Plurinational State of)",0.094220446252576,0.0182856853607274,0.132341667413875,0.341686759941104,0.366420740205756,"1961"
"16",0.584535798844525,-0.545818272985768,"1961","Botswana",0.094220446252576,0.0182856853607274,0.490315352591949,0.564103958346495,0.747410476786051,"1961"
"17",0.297065280929059,-0.0233267793381618,"1961","Brazil",0.094220446252576,0.0182856853607274,0.202844834676483,0.0416124646988892,0.207069128972056,"1961"
"18",0.448610660157349,0.275756200561872,"1961","Brunei Darussalam",0.094220446252576,0.0182856853607274,0.354390213904773,0.257470515201145,0.438045077485655,"1961"
"19",-0.592108750108223,-0.219519720225296,"1961","Bulgaria",0.094220446252576,0.0182856853607274,0.686329196360799,0.237805405586023,0.726360225165994,"1961"
"20",0.54494848008974,-0.411127612186959,"1961","Burkina Faso",0.094220446252576,0.0182856853607274,0.450728033837164,0.429413297547686,0.622536376927078,"1961"
"21",0.913622479593491,0.12069264819041,"1961","Burundi",0.094220446252576,0.0182856853607274,0.819402033340915,0.102406962829682,0.825776530472516,"1961"
"22",0.420667269484083,0.276139958821954,"1961","Cambodia",0.094220446252576,0.0182856853607274,0.326446823231507,0.257854273461227,0.416000426370166,"1961"
"23",0.490659078228953,-0.0930584726515758,"1961","Cameroon",0.094220446252576,0.0182856853607274,0.396438631976377,0.111344158012303,0.411777986840931,"1961"
"24",-0.35594596850549,-0.0112287174090766,"1961","Canada",0.094220446252576,0.0182856853607274,0.450166414758066,0.029514402769804,0.451132908295315,"1961"
"25",0.542107449663092,0.4623928937661,"1961","Cape Verde",0.094220446252576,0.0182856853607274,0.447887003410516,0.444107208405373,0.630740818705801,"1961"
"26",0.703886170464975,-0.166867306269832,"1961","Central African Republic",0.094220446252576,0.0182856853607274,0.609665724212399,0.185152991630559,0.637160831807146,"1961"
"27",0.750225746096479,-0.504826840625742,"1961","Chad",0.094220446252576,0.0182856853607274,0.656005299843903,0.52311252598647,0.839040921688111,"1961"
"28",-0.538336170645312,-0.153621546044092,"1961","Chile",0.094220446252576,0.0182856853607274,0.632556616897888,0.171907231404819,0.655499786262797,"1961"
"29",0.040179973201664,-0.426997221206561,"1961","China",0.094220446252576,0.0182856853607274,0.0540404730509121,0.445282906567289,0.448550152835309,"1961"
"30",0.20509467126691,-0.0188682054548617,"1961","Colombia",0.094220446252576,0.0182856853607274,0.110874225014334,0.037153890815589,0.116933764906745,"1961"
"31",0.598341393969242,0.421703327833862,"1961","Comoros",0.094220446252576,0.0182856853607274,0.504120947716666,0.403417642473134,0.645665334508003,"1961"
"32",0.644052835736393,0.128999050261489,"1961","Congo",0.094220446252576,0.0182856853607274,0.549832389483817,0.110713364900761,0.560868171403167,"1961"
"33",0.528897392126814,0.123460080900374,"1961","Costa Rica",0.094220446252576,0.0182856853607274,0.434676945874237,0.105174395539646,0.447219969088685,"1961"
"34",0.51306173084001,0.0687947422532514,"1961","Côte d'Ivoire",0.094220446252576,0.0182856853607274,0.418841284587434,0.050509056892524,0.421875795113946,"1961"
"35",0.0885691477750806,0.0635675468575683,"1961","Cuba",0.094220446252576,0.0182856853607274,0.00565129847749543,0.0452818614968409,0.0456331475475977,"1961"
