"","group","MDS1","MDS2"
"1","1961",0.0637534700194313,0.0197024803567448
"2","1962",0.057471699196962,0.014347330155231
"3","1963",0.058688894799941,0.0228745852488505
"4","1964",0.0572450908534853,0.00950497157663035
"5","1965",0.0526749417606716,0.00976012985726691
"6","1966",0.0431748404340343,0.00944720441162827
"7","1967",0.0398537851163364,0.00752435633320582
"8","1968",0.0360498239602529,0.00968740655588031
"9","1969",0.0349887801436437,0.00895008916179524
"10","1970",0.0311218606380549,0.00706531564815017
"11","1971",0.0268148227730294,0.00937557425524887
"12","1972",0.025637663533654,0.0142602383822224
"13","1973",0.0253542427961139,0.0125146221220107
"14","1974",0.0269745643307004,0.0128065422301711
"15","1975",0.0288530822397391,0.0163357423763788
"16","1976",0.0279047790023397,0.0207906054535653
"17","1977",0.0201703625751838,0.0164685789734764
"18","1978",0.0178591057369239,0.0157404472925475
"19","1979",0.0136036889588458,0.0131513964087539
"20","1980",0.00852133366056157,0.014731997906951
"21","1981",0.00293003188986611,0.0172158324766325
"22","1982",-0.000282546847170575,0.0177270071368968
"23","1983",-0.0038666891764126,0.0171740117428328
"24","1984",-0.00283501390416067,0.0163847496416357
"25","1985",0.0025800252495943,0.0109668912029126
"26","1986",0.00144020550933453,0.00486909913738192
"27","1987",-0.00245708287476893,0.00670532742141108
"28","1988",-0.00581010424785051,0.00273789778591415
"29","1989",-0.00647550236221143,-0.00236995878059165
"30","1990",-0.00684660563905695,-0.00602888425771308
"31","1991",-0.010145799337379,-0.00180534405398177
"32","1992",-0.0144917486133855,-0.00441217206280707
"33","1993",-0.014156993826026,-0.00650087609588346
"34","1994",-0.0168367154373668,-0.0158339970408889
"35","1995",-0.0167151322738442,-0.0137956456591932
"36","1996",-0.0247110714361329,-0.0189679031661488
"37","1997",-0.0300612336285612,-0.0176977992373448
"38","1998",-0.0340343884677319,-0.0188998009907402
"39","1999",-0.0328257815338194,-0.0174709758674842
"40","2000",-0.0377178034797911,-0.0195558554118394
"41","2001",-0.0388273395900102,-0.0191146916349877
"42","2002",-0.0416757786124229,-0.0210716646503986
"43","2003",-0.0466811865582191,-0.025315862449802
"44","2004",-0.0474720049778278,-0.0230698856228294
"45","2005",-0.0505566482715334,-0.0255516569037464
"46","2006",-0.0544737603332849,-0.0268757156997192
"47","2007",-0.0545431952906321,-0.0245770468534724
"48","2008",-0.0542427918109033,-0.0250835042019395
"49","2009",-0.054924176648197,-0.0248211906108153
