"","x"
"1",0.457864059592143
"2",0.41310348862392
"3",0.471543605191399
"4",0.397273376503704
"5",0.380406190137323
"6",0.368607345233718
"7",0.430165842384237
"8",0.319724450641959
"9",0.184658155630033
"10",0.103533149282497
"11",0.304785052133044
"12",0.137409283988301
"13",0.54043720174997
"14",0.434244893372734
"15",0.14553331518685
"16",0.312792300577856
"17",0.0146047903433892
"18",0.0834451304090923
"19",0.506440958414198
"20",0.672294588918921
"21",0.816329094866098
"22",0.273031762894443
"23",0.45026631491432
"24",0.366544105364443
"25",0.183463527398735
"26",0.725584644061738
"27",0.629130236535063
"28",0.443053333609969
"29",0.0317500823486333
"30",0.00134165942031857
"31",0.615473817584239
"32",0.43444351818299
"33",0.0271989528116332
"34",0.536137465395492
"35",0.12118716957454
"36",0.345782450405393
"37",0.40833025177161
"38",0.138505629205373
"39",0.487944748159714
"40",0.23294379571308
"41",0.26870109113555
"42",0.0421456808138976
"43",0.0409904430303087
"44",0.0455820584773207
"45",0.00516153469390843
"46",0.239198444605045
"47",0.0378059173672319
"48",0.588319999001732
"49",0.3288949677137
"50",0.179176901558836
"51",0.484151738250218
"52",0.653285054534438
"53",0.435675955474751
"54",0.407562675688006
"55",0.366009751523718
"56",0.230681563624866
"57",0.0192420419537158
"58",0.688514982323548
"59",0.570895560003952
"60",0.212654217032187
"61",0.207111936100497
"62",0.228681240382031
"63",0.501404735097588
"64",0.552425968236222
"65",0.159386458580404
"66",0.342711548817566
"67",0.271788874699529
"68",0.537767521244953
"69",0.289292643121213
"70",0.347158949428479
"71",0.19273684294014
"72",0.144651092653137
"73",0.318840569792234
"74",0.346811353391603
"75",0.0232347498337622
"76",0.388078553903617
"77",0.215906488422402
"78",0.335660304584862
"79",0.0987329262962305
"80",0.38236106033494
"81",0.457655136565284
"82",0.141320742669048
"83",0.503615708503536
"84",0.0188756484173837
"85",0.192595933803552
"86",0.572482507040125
"87",0.306213684091721
"88",0.493745916404626
"89",0.110299042649978
"90",0.0542153922523244
"91",0.420427851574035
"92",0.273307415879177
"93",0.390341827734559
"94",0.403639806912311
"95",0.818592429610288
"96",0.46681861491432
"97",0.381068857456705
"98",0.0741207603462264
"99",0.50892188682906
"100",0.215783525973387
"101",0.603058115164099
"102",0.545992413428637
"103",0.447744348207532
"104",0.0543731225109661
"105",0.0971374883128359
"106",0.0243676822479832
"107",0.242207369730837
"108",0.0804012447545224
"109",0.614812427222
"110",0.30012097770496
"111",0.00188340161335444
"112",0.407676309278847
"113",0.98751198141552
"114",0.0962483446841036
"115",0.15654266381685
"116",0.0934121339520727
"117",0.0196243950889149
"118",0.131986695434093
"119",0.0398490466416051
"120",0.228786223651163
"121",0.00807556510196901
"122",0.375267646575483
"123",0.335826788119424
"124",0.160326420725707
"125",0.345576195800944
