"","x"
"1",0.385228859208913
"2",0.4594744871901
"3",0.173715029497031
"4",0.688838423386059
"5",0.242234917580219
"6",0.0274740089238147
"7",0.0863024201532721
"8",0.372036379831127
"9",0.227531345948626
"10",0.550418564043605
"11",0.0526917220745092
"12",0.556304578842745
"13",0.143421479373667
"14",0.310122658683722
"15",0.341686759941104
"16",0.564103958346495
"17",0.0416124646988892
"18",0.257470515201145
"19",0.237805405586023
"20",0.429413297547686
"21",0.102406962829682
"22",0.257854273461227
"23",0.111344158012303
"24",0.029514402769804
"25",0.444107208405373
"26",0.185152991630559
"27",0.52311252598647
"28",0.171907231404819
"29",0.445282906567289
"30",0.037153890815589
"31",0.403417642473134
"32",0.110713364900761
"33",0.105174395539646
"34",0.050509056892524
"35",0.0452818614968409
"36",0.190731131992872
"37",0.0212589762031604
"38",0.598352566073093
"39",0.0669079327200759
"40",0.738101073292935
"41",0.635822394571618
"42",0.179043000190736
"43",0.0869759955792043
"44",0.582342484114583
"45",0.649956856698049
"46",0.787563224754631
"47",0.602675217427586
"48",0.128316085839211
"49",0.0877806452864915
"50",0.365650441446231
"51",0.136686884184767
"52",0.342091780425532
"53",0.0202675698631266
"54",0.0758151949653905
"55",0.297805702627256
"56",0.615217459328221
"57",0.567563939392926
"58",0.0214921641119377
"59",0.0400964610901465
"60",0.402752344361784
"61",0.0292813223525943
"62",0.0819671616985629
"63",0.0350153090023925
"64",0.240789099422302
"65",0.334016579078065
"66",0.361484116375354
"67",0.383025702035895
"68",0.0965163648034523
"69",0.205796656016189
"70",0.121030061739819
"71",0.514735807944351
"72",0.14501765469319
"73",0.20867354573578
"74",0.140119620026579
"75",0.789171045161569
"76",0.25640280636499
"77",0.408074304112961
"78",0.313611813610749
"79",0.853638392530234
"80",0.208232472860898
"81",0.477260135901092
"82",0.1105692376461
"83",0.160528026632046
"84",0.206644471450677
"85",0.753916143865751
"86",0.435939169777864
"87",0.0829955959877884
"88",0.666470797328867
"89",0.308509815165767
"90",0.216057312439235
"91",1.0013677901509
"92",0.398049245695528
"93",0.252747583514126
"94",0.00544873615226958
"95",0.722976997041433
"96",0.486094987070322
"97",0.0803378429189657
"98",0.362262901964447
"99",0.039788535062546
"100",0.198399921309752
"101",0.422525591666105
"102",0.211438449970371
"103",0.108220877978372
"104",0.487111401665367
"105",0.23056156527037
"106",0.436170215396884
"107",0.44179356451456
"108",0.360615911827087
"109",0.0167665332060192
"110",0.240421150527821
"111",0.642233987727451
"112",0.378684312783063
"113",0.165703993466796
"114",0.355821923966439
"115",0.657755251714808
"116",0.440256077649664
"117",0.850757878852627
"118",0.43753735382994
"119",0.661350323016942
"120",0.291659614099767
"121",0.33698417284334
"122",0.0785591859481873
"123",0.594040838536431
"124",0.423899696597618
"125",0.220307309300072
"126",0.351271393221877
"127",0.350797090262937
"128",0.332379101304439
"129",0.431244707513973
"130",0.149776161846064
"131",0.00965890007092862
"132",0.571124177447236
"133",0.503968554307645
"134",0.245831313199283
"135",0.139106646040248
"136",0.280571819987421
"137",0.221142098452842
"138",0.351130007770517
"139",0.19124922120681
"140",0.816906826602305
"141",0.0164234269686431
"142",0.12057000630177
"143",0.106834581825012
"144",0.121558278097425
"145",0.349993499950464
"146",0.61697091902626
"147",0.114152743580322
"148",0.356587504789492
"149",0.704173359242011
"150",0.230609439469869
"151",0.444825304474977
"152",0.472572350555186
"153",0.522426971712684
"154",0.387313355240589
"155",0.183703421493741
"156",0.783282347842041
"157",0.2078223197863
"158",0.0936395684507954
"159",0.0774872877343727
"160",0.382435279488833
"161",0.257751666403994
