"","x"
"1",0.737414743688383
"2",0.525048147480595
"3",0.450968549943353
"4",0.246281787577796
"5",0.459804163223916
"6",0.442566751728133
"7",0.583054017681439
"8",0.504277254485191
"9",0.128410217750589
"10",0.031501832847391
"11",0.320867600158926
"12",0.191281272844302
"13",0.538355709837639
"14",0.425346197024787
"15",0.132341667413875
"16",0.490315352591949
"17",0.202844834676483
"18",0.354390213904773
"19",0.686329196360799
"20",0.450728033837164
"21",0.819402033340915
"22",0.326446823231507
"23",0.396438631976377
"24",0.450166414758066
"25",0.447887003410516
"26",0.609665724212399
"27",0.656005299843903
"28",0.632556616897888
"29",0.0540404730509121
"30",0.110874225014334
"31",0.504120947716666
"32",0.549832389483817
"33",0.434676945874237
"34",0.418841284587434
"35",0.00565129847749543
"36",0.413478799820058
"37",0.460476280465032
"38",0.256094341677141
"39",0.652212320484847
"40",0.27764496000141
"41",0.263637403471058
"42",0.415853562107946
"43",0.0108041370312094
"44",0.112267433981431
"45",0.112762025625315
"46",0.199370446380367
"47",0.253798043826212
"48",0.84703571176762
"49",0.423614350729481
"50",0.000912761040370413
"51",0.653833477399582
"52",0.51522578316755
"53",0.62061803894593
"54",0.451280018467136
"55",0.464184203163827
"56",0.169879700553579
"57",0.000842170475686868
"58",0.543693652315019
"59",0.449098535444036
"60",0.228276080226184
"61",0.492173129541355
"62",0.573519967632073
"63",0.727183028792178
"64",0.773303114944061
"65",0.240330738609726
"66",0.510675725908427
"67",0.358708127783496
"68",0.773487650032417
"69",0.444642672568774
"70",0.376278685282342
"71",0.188121687170231
"72",0.258147237882939
"73",0.284383766940426
"74",0.432213892996103
"75",0.00117809096354701
"76",0.308978984143968
"77",0.475592801642269
"78",0.490398228134333
"79",0.0552673977432718
"80",0.299369419434335
"81",0.604984482657833
"82",0.309848796688609
"83",0.560467777187752
"84",0.148696431072777
"85",0.0901492469663977
"86",0.500189763705299
"87",0.474963261957801
"88",0.582995001492711
"89",0.0689824042558866
"90",0.105587286589204
"91",0.894117005808212
"92",0.340686678875849
"93",0.298494575566345
"94",0.460452968104379
"95",0.349033726421899
"96",0.46763869844791
"97",0.502293821289453
"98",0.0667154922995527
"99",0.801723249588641
"100",0.799257747085218
"101",0.828596971573699
"102",0.500605798680017
"103",0.637783830586576
"104",0.0725660630966754
"105",0.0961495118591549
"106",0.0704812926813727
"107",0.330668821011576
"108",0.223755452592493
"109",0.875266507571342
"110",0.370592435041584
"111",0.450732942509112
"112",0.644194000891808
"113",0.87812435997415
"114",0.0462269892299554
"115",0.145185479109621
"116",0.110613750127572
"117",0.043273258740921
"118",0.244055173065007
"119",0.0050518943779885
"120",0.2687687708282
"121",0.134992660523133
"122",0.354099412519003
"123",0.222846909962936
"124",0.120509883702067
"125",0.442988878198419
"126",0.322064277775054
"127",0.499437267261457
"128",0.0119092102390525
"129",0.571871868962373
"130",0.63298508076306
"131",0.474995844605912
"132",0.32212515517906
"133",0.487753018258526
"134",0.360895236478484
"135",0.493080025762969
"136",0.218312899334308
"137",0.510999827739629
"138",0.454023438225717
"139",0.520689415889772
"140",0.807685510688868
"141",0.437343482313677
"142",0.404099235283585
"143",0.333831252426853
"144",0.617364259664876
"145",0.768013918825622
"146",0.0944415066808227
"147",0.159010446381159
"148",0.42763983011299
"149",0.241731810310558
"150",0.608637823336855
"151",0.476228163453736
"152",0.498427446010191
"153",0.62577461250569
"154",0.579342540572338
"155",0.3695311416176
"156",0.374038692866511
"157",0.56486636076507
"158",0.489940756616418
"159",0.588093432025351
"160",0.496189358128887
"161",0.142286526139915
"162",0.0124819810002895
"163",0.334520592020403
"164",0.356621421014596
"165",0.532427852128789
"166",0.41768968754804
"167",0.104877683024503
"168",0.485742046953446
"169",0.172218209605858
"170",0.285698215267479
"171",0.666886207311354
"172",0.433783545910872
"173",0.766113606788911
"174",0.349057015964544
"175",0.421132023636466
"176",0.466137543408319
"177",0.523723838895008
"178",0.611902786883306
"179",0.620809522468036
"180",0.642595250709018
"181",0.0437056322296891
"182",0.10589807230682
"183",0.509372029417293
"184",0.502224783080332
"185",0.410840538579186
"186",0.427767078949678
"187",0.00874560021247213
"188",0.366474104309319
"189",0.526186106222371
"190",0.189323226150281
"191",0.609125408717991
"192",0.245388867487828
"193",0.273427585861254
"194",0.413995487647004
"195",0.0857045802116929
"196",0.159756410535199
"197",0.105928512299704
"198",0.198935347549459
"199",0.209051351861187
"200",0.813338059243363
"201",0.432457293437057
"202",0.0118280976436215
"203",0.598679292331389
"204",0.512837683506968
"205",0.611470023901855
"206",0.419467668844042
"207",0.515361678820249
"208",0.188634731550454
"209",0.0532752945588714
"210",0.546127614241355
"211",0.452522856572541
"212",0.303027528626615
"213",0.469654286540853
"214",0.501283558011141
"215",0.670778247325384
"216",0.738046778167946
"217",0.243626269872004
"218",0.525223605020794
"219",0.21869297068261
"220",0.670714048152424
"221",0.426529013138208
"222",0.357163561935319
"223",0.14083513290482
