"","x"
"1",0.83197462592101
"2",0.697705067740954
"3",0.483269639550391
"4",0.731541586258434
"5",0.519709172338858
"6",0.443418708335064
"7",0.58940656194072
"8",0.62666308117598
"9",0.261265568745571
"10",0.551319291442418
"11",0.32516524169555
"12",0.588271459262082
"13",0.557132471734075
"14",0.5263985664423
"15",0.366420740205756
"16",0.747410476786051
"17",0.207069128972056
"18",0.438045077485655
"19",0.726360225165994
"20",0.622536376927078
"21",0.825776530472516
"22",0.416000426370166
"23",0.411777986840931
"24",0.451132908295315
"25",0.630740818705801
"26",0.637160831807146
"27",0.839040921688111
"28",0.655499786262797
"29",0.448550152835309
"30",0.116933764906745
"31",0.645665334508003
"32",0.560868171403167
"33",0.447219969088685
"34",0.421875795113946
"35",0.0456331475475977
"36",0.455349407172029
"37",0.460966754701592
"38",0.650853366869454
"39",0.655635251075706
"40",0.788593633128221
"41",0.688313008701527
"42",0.452758855280786
"43",0.0876444703559952
"44",0.593065549106942
"45",0.659665968496126
"46",0.812406553319101
"47",0.653934908650241
"48",0.85669978107548
"49",0.432613638054641
"50",0.365651580691976
"51",0.667968203192764
"52",0.618453226909947
"53",0.620948890532264
"54",0.457604194534249
"55",0.551502684475924
"56",0.638241047663377
"57",0.56756456421303
"58",0.544118278213349
"59",0.450884930697325
"60",0.46294645445488
"61",0.49304339087067
"62",0.57934770981649
"63",0.728025569075632
"64",0.809924131004127
"65",0.411492331665743
"66",0.625668013745124
"67",0.524766814268996
"68",0.779486082895355
"69",0.489958538956663
"70",0.395264373353522
"71",0.548035328390331
"72",0.296091399063371
"73",0.352730457416381
"74",0.454359282083287
"75",0.789171924500436
"76",0.40151016394916
"77",0.626668293957194
"78",0.582102045859244
"79",0.855425619475425
"80",0.364668084765058
"81",0.770573462803576
"82",0.328986068281043
"83",0.583003753504348
"84",0.254583122368531
"85",0.75928679608565
"86",0.663500383920142
"87",0.482160107394798
"88",0.885475293533175
"89",0.316127945855058
"90",0.240477519422785
"91",1.34245397359728
"92",0.523937606172944
"93",0.391127028744835
"94",0.460485205584055
"95",0.802820204299197
"96",0.674517819439154
"97",0.508677945177922
"98",0.368354947099227
"99",0.802709970321406
"100",0.823514101306987
"101",0.930107959816438
"102",0.543426521066032
"103",0.646900280559605
"104",0.492486904542394
"105",0.249806653255427
"106",0.44182809939772
"107",0.551836409487147
"108",0.42439408387459
"109",0.875427082007338
"110",0.44174775894301
"111",0.784617537692872
"112",0.747253450666489
"113",0.893621958677636
"114",0.358812173857639
"115",0.673588000563178
"116",0.453939220187848
"117",0.851857701351511
"118",0.50100086177201
"119",0.661369617832131
"120",0.396613139809218
"121",0.363017012193677
"122",0.36270916674816
"123",0.634464548362707
"124",0.440696703919417
"125",0.494746861272036
"126",0.476567928751826
"127",0.6103246533334
"128",0.332592387574437
"129",0.716246767719987
"130",0.650463689321669
"131",0.475094039894697
"132",0.655703775849976
"133",0.701346783375557
"134",0.436667386304662
"135",0.512326625092799
"136",0.355501150753138
"137",0.556798573685365
"138",0.573959549807497
"139",0.554701480466605
"140",1.14877876352507
"141",0.43765174565589
"142",0.421702879260252
"143",0.350509533351956
"144",0.629217803376201
"145",0.844002861083696
"146",0.624157282348169
"147",0.195742613973683
"148",0.556803801056587
"149",0.744509494890561
"150",0.650861516429442
"151",0.651661580245279
"152",0.686843901804111
"153",0.815183296215969
"154",0.696885510298883
"155",0.412674462129309
"156",0.868007016217167
"157",0.601883811150735
"158",0.498808895042499
"159",0.593176335124545
"160",0.626466776547694
"161",0.294417012169814
"162",0.539060173714407
"163",0.334551005535944
"164",0.613294807040713
"165",0.54656785999278
"166",0.528137095199758
"167",0.148598466116292
"168",0.735177967438324
"169",0.172998022128702
"170",0.378974736427159
"171",0.712805745209353
"172",0.601209521887844
"173",0.773096934137472
"174",0.471185570979523
"175",0.429257551928784
"176",0.466147224866642
"177",0.70752293609812
"178",0.650935418941292
"179",0.796645558864561
"180",0.652321741977792
"181",0.462681813306859
"182",0.111537340899135
"183",0.656141000946229
"184",0.518185645187145
"185",0.423056259547472
"186",0.431297766584966
"187",0.0121084880669238
"188",0.400299746334007
"189",0.529235890459743
"190",0.59934409372426
"191",0.615218531162256
"192",0.81453935716759
"193",0.729272813897184
"194",0.4634580700265
"195",0.150832436536353
"196",0.538272257667728
"197",0.588884182608402
"198",0.804994533875374
"199",0.583782936542419
"200",0.816060164779093
"201",0.439023865581868
"202",0.370844589993146
"203",0.616400715467422
"204",0.605226916209042
"205",0.613802935027499
"206",0.428216674987017
"207",0.585927164291692
"208",0.636375553247751
"209",0.596105904251467
"210",0.546480404743315
"211",0.454696589575114
"212",0.533083062181414
"213",0.469712375399198
"214",0.50270830927277
"215",0.673696591380546
"216",0.778642245501347
"217",0.402358599940198
"218",0.640657181586667
