CountryName,ElementName,Year,Count
Congo,Calories,1962,29
Costa Rica,Calories,1962,27
C“te d'Ivoire,Calories,1962,31
Cuba,Calories,1962,26
Cyprus,Calories,1962,35
Czechoslovakia,Calories,1962,35
Democratic People's Republic of Korea,Calories,1962,21
Denmark,Calories,1962,35
Djibouti,Calories,1962,13
Dominica,Calories,1962,28
Dominican Republic,Calories,1962,33
Ecuador,Calories,1962,36
Egypt,Calories,1962,31
El Salvador,Calories,1962,27
Ethiopia PDR,Calories,1962,29
Fiji,Calories,1962,28
Finland,Calories,1962,29
France,Calories,1962,38
French Polynesia,Calories,1962,30
Gabon,Calories,1962,22
Gambia,Calories,1962,19
Germany,Calories,1962,38
Ghana,Calories,1962,30
Greece,Calories,1962,32
Grenada,Calories,1962,32
Guatemala,Calories,1962,27
Guinea,Calories,1962,24
Guinea-Bissau,Calories,1962,23
Guyana,Calories,1962,25
Haiti,Calories,1962,29
Honduras,Calories,1962,27
Hungary,Calories,1962,26
Iceland,Calories,1962,29
India,Calories,1962,30
Indonesia,Calories,1962,22
Iran (Islamic Republic of),Calories,1962,27
Ireland,Calories,1962,31
Israel,Calories,1962,37
Italy,Calories,1962,34
Jamaica,Calories,1962,33
Japan,Calories,1962,38
Jordan,Calories,1962,27
Kenya,Calories,1962,29
Kiribati,Calories,1962,12
Kuwait,Calories,1962,26
Lao People's Democratic Republic,Calories,1962,22
Lebanon,Calories,1962,32
Lesotho,Calories,1962,15
Liberia,Calories,1962,27
Libya,Calories,1962,27
Madagascar,Calories,1962,31
Malawi,Calories,1962,21
Malaysia,Calories,1962,36
Maldives,Calories,1962,13
Mali,Calories,1962,22
Malta,Calories,1962,33
Mauritania,Calories,1962,20
Mauritius,Calories,1962,31
Mexico,Calories,1962,37
Mongolia,Calories,1962,12
Morocco,Calories,1962,36
Mozambique,Calories,1962,27
Myanmar,Calories,1962,25
Namibia,Calories,1962,12
Nepal,Calories,1962,16
Netherlands,Calories,1962,31
New Caledonia,Calories,1962,22
New Zealand,Calories,1962,32
Nicaragua,Calories,1962,26
Niger,Calories,1962,20
Nigeria,Calories,1962,30
Norway,Calories,1962,31
Pakistan,Calories,1962,28
Panama,Calories,1962,33
Paraguay,Calories,1962,31
Peru,Calories,1962,35
Philippines,Calories,1962,31
Poland,Calories,1962,25
Portugal,Calories,1962,29
Republic of Korea,Calories,1962,24
Romania,Calories,1962,23
Rwanda,Calories,1962,18
Saint Kitts and Nevis,Calories,1962,21
Saint Lucia,Calories,1962,25
Saint Vincent and the Grenadines,Calories,1962,30
Samoa,Calories,1962,19
Sao Tome and Principe,Calories,1962,21
Saudi Arabia,Calories,1962,30
Senegal,Calories,1962,30
Seychelles,Calories,1962,25
Sierra Leone,Calories,1962,31
Solomon Islands,Calories,1962,19
South Africa,Calories,1962,38
Spain,Calories,1962,35
Sri Lanka,Calories,1962,34
Sudan (former),Calories,1962,31
Suriname,Calories,1962,26
Swaziland,Calories,1962,22
Sweden,Calories,1962,31
Switzerland,Calories,1962,42
Syrian Arab Republic,Calories,1962,30
Thailand,Calories,1962,23
Timor-Leste,Calories,1962,21
Togo,Calories,1962,29
Trinidad and Tobago,Calories,1962,32
Tunisia,Calories,1962,31
Turkey,Calories,1962,29
Uganda,Calories,1962,29
United Arab Emirates,Calories,1962,9
United Kingdom,Calories,1962,37
United Republic of Tanzania,Calories,1962,31
United States of America,Calories,1962,44
Uruguay,Calories,1962,31
USSR,Calories,1962,29
Vanuatu,Calories,1962,17
Venezuela (Bolivarian Republic of),Calories,1962,36
Viet Nam,Calories,1962,23
Yemen,Calories,1962,21
Yugoslav SFR,Calories,1962,32
Zambia,Calories,1962,25
Zimbabwe,Calories,1962,24
Albania,Calories,1963,19
Algeria,Calories,1963,28
Angola,Calories,1963,26
Antigua and Barbuda,Calories,1963,23
Argentina,Calories,1963,37
Australia,Calories,1963,39
Austria,Calories,1963,37
Bahamas,Calories,1963,27
Bangladesh,Calories,1963,26
Barbados,Calories,1963,30
Belgium-Luxembourg,Calories,1963,37
Belize,Calories,1963,23
Benin,Calories,1963,30
Bermuda,Calories,1963,27
Bolivia (Plurinational State of),Calories,1963,31
Botswana,Calories,1963,20
Brazil,Calories,1963,33
Brunei Darussalam,Calories,1963,29
Bulgaria,Calories,1963,25
Burkina Faso,Calories,1963,24
Burundi,Calories,1963,22
Cambodia,Calories,1963,26
Cameroon,Calories,1963,31
Canada,Calories,1963,40
Cape Verde,Calories,1963,21
Central African Republic,Calories,1963,25
Chad,Calories,1963,25
Chile,Calories,1963,30
China,Calories,1963,34
Colombia,Calories,1963,28
Comoros,Calories,1963,13
Congo,Calories,1963,28
Costa Rica,Calories,1963,27
C“te d'Ivoire,Calories,1963,32
Cuba,Calories,1963,27
Cyprus,Calories,1963,36
Czechoslovakia,Calories,1963,36
Democratic People's Republic of Korea,Calories,1963,21
Denmark,Calories,1963,36
Djibouti,Calories,1963,13
Dominica,Calories,1963,28
Dominican Republic,Calories,1963,34
Ecuador,Calories,1963,38
Egypt,Calories,1963,31
El Salvador,Calories,1963,27
Ethiopia PDR,Calories,1963,31
Fiji,Calories,1963,29
Finland,Calories,1963,31
France,Calories,1963,38
French Polynesia,Calories,1963,29
Gabon,Calories,1963,22
Gambia,Calories,1963,19
Germany,Calories,1963,38
Ghana,Calories,1963,29
Greece,Calories,1963,34
Grenada,Calories,1963,33
Guatemala,Calories,1963,27
Guinea,Calories,1963,24
Guinea-Bissau,Calories,1963,24
Guyana,Calories,1963,26
Haiti,Calories,1963,30
Honduras,Calories,1963,27
Hungary,Calories,1963,31
