CountryName,Measurement,Year,Dominance
Bolivia (Plurinational State of),Calories,1962,0.265389877
Botswana,Calories,1962,0.319719209
Brazil,Calories,1962,0.207575758
Brunei Darussalam,Calories,1962,0.448394495
Bulgaria,Calories,1962,0.569524496
Burkina Faso,Calories,1962,0.390796202
Burundi,Calories,1962,0.303897385
Cambodia,Calories,1962,0.805194805
Cameroon,Calories,1962,0.238344683
Canada,Calories,1962,0.327508455
Cape Verde,Calories,1962,0.484745763
Central African Republic,Calories,1962,0.474728389
Chad,Calories,1962,0.384408602
Chile,Calories,1962,0.4971537
China,Calories,1962,0.33423913
Colombia,Calories,1962,0.222359481
Comoros,Calories,1962,0.31558753
Congo,Calories,1962,0.636317907
Costa Rica,Calories,1962,0.249569707
C“te d'Ivoire,Calories,1962,0.252857796
Cuba,Calories,1962,0.275803723
Cyprus,Calories,1962,0.418670438
Czechoslovakia,Calories,1962,0.348309975
Democratic People's Republic of Korea,Calories,1962,0.487778381
Denmark,Calories,1962,0.253687316
Djibouti,Calories,1962,0.272727273
Dominica,Calories,1962,0.335333333
Dominican Republic,Calories,1962,0.194085028
Ecuador,Calories,1962,0.171304886
Egypt,Calories,1962,0.346363187
El Salvador,Calories,1962,0.416961131
Ethiopia PDR,Calories,1962,0.236220472
Fiji,Calories,1962,0.235873288
Finland,Calories,1962,0.319738989
France,Calories,1962,0.41015274
French Polynesia,Calories,1962,0.38115942
Gabon,Calories,1962,0.343977591
Gambia,Calories,1962,0.29803719
Germany,Calories,1962,0.212562814
Ghana,Calories,1962,0.196911197
Greece,Calories,1962,0.507796039
Grenada,Calories,1962,0.299936184
Guatemala,Calories,1962,0.621863799
Guinea,Calories,1962,0.172054223
Guinea-Bissau,Calories,1962,0.326504481
Guyana,Calories,1962,0.309181141
Haiti,Calories,1962,0.232839099
Honduras,Calories,1962,0.524271845
Hungary,Calories,1962,0.547619048
Iceland,Calories,1962,0.293918919
India,Calories,1962,0.354573484
Indonesia,Calories,1962,0.473930873
Iran (Islamic Republic of),Calories,1962,0.53442623
Ireland,Calories,1962,0.449390815
Israel,Calories,1962,0.468112798
Italy,Calories,1962,0.467193676
Jamaica,Calories,1962,0.330404218
Japan,Calories,1962,0.515876468
Jordan,Calories,1962,0.518962076
Kenya,Calories,1962,0.469026549
Kiribati,Calories,1962,0.41662901
Kuwait,Calories,1962,0.422630561
Lao People's Democratic Republic,Calories,1962,0.865131579
Lebanon,Calories,1962,0.534872052
Lesotho,Calories,1962,0.441033926
Liberia,Calories,1962,0.404168785
Libya,Calories,1962,0.440298507
Madagascar,Calories,1962,0.59026465
Malawi,Calories,1962,0.666495902
Malaysia,Calories,1962,0.576481396
Maldives,Calories,1962,0.223930481
Mali,Calories,1962,0.339779006
Malta,Calories,1962,0.529179465
Mauritania,Calories,1962,0.38002594
Mauritius,Calories,1962,0.414655943
Mexico,Calories,1962,0.525819265
Mongolia,Calories,1962,0.84295846
Morocco,Calories,1962,0.350221348
Mozambique,Calories,1962,0.486813187
Myanmar,Calories,1962,0.745
Namibia,Calories,1962,0.25734494
Nepal,Calories,1962,0.449722394
Netherlands,Calories,1962,0.321203299
New Caledonia,Calories,1962,0.269688645
New Zealand,Calories,1962,0.398203593
Nicaragua,Calories,1962,0.369552239
Niger,Calories,1962,0.565677966
Nigeria,Calories,1962,0.267866324
Norway,Calories,1962,0.32122093
Pakistan,Calories,1962,0.470263642
Panama,Calories,1962,0.317547055
Paraguay,Calories,1962,0.225863078
Peru,Calories,1962,0.204364023
Philippines,Calories,1962,0.527000651
Poland,Calories,1962,0.283884298
Portugal,Calories,1962,0.266606822
Republic of Korea,Calories,1962,0.530131827
Romania,Calories,1962,0.493872549
Rwanda,Calories,1962,0.268186754
Saint Kitts and Nevis,Calories,1962,0.313624679
Saint Lucia,Calories,1962,0.286868687
Saint Vincent and the Grenadines,Calories,1962,0.300339367
Samoa,Calories,1962,0.316425121
Sao Tome and Principe,Calories,1962,0.269483568
Saudi Arabia,Calories,1962,0.194478528
Senegal,Calories,1962,0.250561293
Seychelles,Calories,1962,0.51081239
Sierra Leone,Calories,1962,0.370412844
Solomon Islands,Calories,1962,0.416375437
South Africa,Calories,1962,0.497054826
Spain,Calories,1962,0.438663283
Sri Lanka,Calories,1962,0.476238625
Sudan (former),Calories,1962,0.473196559
Suriname,Calories,1962,0.319022063
Swaziland,Calories,1962,0.350482315
Sweden,Calories,1962,0.249445676
Switzerland,Calories,1962,0.311194653
Syrian Arab Republic,Calories,1962,0.529692471
Thailand,Calories,1962,0.802179837
Timor-Leste,Calories,1962,0.489239598
Togo,Calories,1962,0.260625876
Trinidad and Tobago,Calories,1962,0.330352707
Tunisia,Calories,1962,0.580871307
Turkey,Calories,1962,0.514093395
Uganda,Calories,1962,0.143527205
United Arab Emirates,Calories,1962,0.443030654
United Kingdom,Calories,1962,0.366906475
United Republic of Tanzania,Calories,1962,0.293242405
United States of America,Calories,1962,0.266198704
Uruguay,Calories,1962,0.423654568
USSR,Calories,1962,0.488061514
Vanuatu,Calories,1962,0.392998028
Venezuela (Bolivarian Republic of),Calories,1962,0.210084034
Viet Nam,Calories,1962,0.79930192
Yemen,Calories,1962,0.609124538
Yugoslav SFR,Calories,1962,0.581106511
Zambia,Calories,1962,0.665545411
Zimbabwe,Calories,1962,0.47496128
Albania,Calories,1963,0.39345172
Algeria,Calories,1963,0.559241706
Angola,Calories,1963,0.358182877
Antigua and Barbuda,Calories,1963,0.368548877
Argentina,Calories,1963,0.462099125
Australia,Calories,1963,0.421850497
Austria,Calories,1963,0.258079199
Bahamas,Calories,1963,0.267749699
Bangladesh,Calories,1963,0.812770043
Barbados,Calories,1963,0.250744786
Belgium-Luxembourg,Calories,1963,0.376101861
Belize,Calories,1963,0.327736318
Benin,Calories,1963,0.279635258
Bermuda,Calories,1963,0.268788084
Bolivia (Plurinational State of),Calories,1963,0.281982585
Botswana,Calories,1963,0.339950372
Brazil,Calories,1963,0.205521472
Brunei Darussalam,Calories,1963,0.460526316
Bulgaria,Calories,1963,0.569160198
Burkina Faso,Calories,1963,0.402470741
Burundi,Calories,1963,0.289247855
Cambodia,Calories,1963,0.809763463
Cameroon,Calories,1963,0.222279261
Canada,Calories,1963,0.348501665
Cape Verde,Calories,1963,0.463642909
Central African Republic,Calories,1963,0.474121094
Chad,Calories,1963,0.380478988
Chile,Calories,1963,0.489963504
China,Calories,1963,0.376074025
Colombia,Calories,1963,0.235947712
Comoros,Calories,1963,0.330305927
Congo,Calories,1963,0.608783443
Costa Rica,Calories,1963,0.244226328
C“te d'Ivoire,Calories,1963,0.241027913
Cuba,Calories,1963,0.25984252
Cyprus,Calories,1963,0.440844379
Czechoslovakia,Calories,1963,0.342891761
Democratic People's Republic of Korea,Calories,1963,0.49382716
Denmark,Calories,1963,0.254151988
Djibouti,Calories,1963,0.261380323
Dominica,Calories,1963,0.333116037
Dominican Republic,Calories,1963,0.193111931
Ecuador,Calories,1963,0.166868932
Egypt,Calories,1963,0.350318471
El Salvador,Calories,1963,0.42532691
Ethiopia PDR,Calories,1963,0.236650485
Fiji,Calories,1963,0.242449664
Finland,Calories,1963,0.341894977
France,Calories,1963,0.398359161
French Polynesia,Calories,1963,0.368022706
Gabon,Calories,1963,0.337752161
Gambia,Calories,1963,0.310625318
Germany,Calories,1963,0.210178117
Ghana,Calories,1963,0.201279814
Greece,Calories,1963,0.504870817
Grenada,Calories,1963,0.301886792
Guatemala,Calories,1963,0.617196702
Guinea,Calories,1963,0.224660397
Guinea-Bissau,Calories,1963,0.324561404
Guyana,Calories,1963,0.327542156
Haiti,Calories,1963,0.228697086
Honduras,Calories,1963,0.513285024
Hungary,Calories,1963,0.550509731
Iceland,Calories,1963,0.343415249
India,Calories,1963,0.354890433
Indonesia,Calories,1963,0.479929162
Iran (Islamic Republic of),Calories,1963,0.54562618
Ireland,Calories,1963,0.438223045
Israel,Calories,1963,0.451006711
Italy,Calories,1963,0.459207459
Jamaica,Calories,1963,0.316284539
Japan,Calories,1963,0.508635579
Jordan,Calories,1963,0.522277228
Kenya,Calories,1963,0.478974359
Kiribati,Calories,1963,0.402154399
Kuwait,Calories,1963,0.406970784
Lao People's Democratic Republic,Calories,1963,0.870200108
Lebanon,Calories,1963,0.519399897
Lesotho,Calories,1963,0.452061856
Liberia,Calories,1963,0.422795908
Libya,Calories,1963,0.460942544
Madagascar,Calories,1963,0.584714549
Malawi,Calories,1963,0.687071499
Malaysia,Calories,1963,0.576395242
Maldives,Calories,1963,0.22696477
Mali,Calories,1963,0.361260054
Malta,Calories,1963,0.532015471
Mauritania,Calories,1963,0.378857518
Mauritius,Calories,1963,0.408675799
Mexico,Calories,1963,0.524582104
Mongolia,Calories,1963,0.777148253
Morocco,Calories,1963,0.430392157
Mozambique,Calories,1963,0.467120181
Myanmar,Calories,1963,0.731425091
Namibia,Calories,1963,0.255330782
Nepal,Calories,1963,0.441903585
Netherlands,Calories,1963,0.302928469
New Caledonia,Calories,1963,0.238095238
New Zealand,Calories,1963,0.393831554
Nicaragua,Calories,1963,0.375
Niger,Calories,1963,0.548840478
Nigeria,Calories,1963,0.240652975
Norway,Calories,1963,0.292732856
Pakistan,Calories,1963,0.464480874
Panama,Calories,1963,0.307086614
Paraguay,Calories,1963,0.216915995
Peru,Calories,1963,0.194715681
Philippines,Calories,1963,0.509056839
Poland,Calories,1963,0.276147168
Portugal,Calories,1963,0.238587425
Republic of Korea,Calories,1963,0.561157796
Romania,Calories,1963,0.481259968
Rwanda,Calories,1963,0.205494505
Saint Kitts and Nevis,Calories,1963,0.322989234
Saint Lucia,Calories,1963,0.288529205
Saint Vincent and the Grenadines,Calories,1963,0.292861501
Samoa,Calories,1963,0.309436275
Sao Tome and Principe,Calories,1963,0.264829519
Saudi Arabia,Calories,1963,0.208533654
Senegal,Calories,1963,0.241067923
