Item,FoodGroup,Year,Measurement,NoCountries
Millets,Cereals,1975,Fat,40
Miscellaneous,Miscellaneous,1975,Fat,29
Oats,Cereals,1975,Fat,28
Oilcrops (other),Oils,1975,Fat,111
Olives,Oils,1975,Fat,65
Onions,Vegetables,1975,Fat,15
Oranges & mandarines,Fruits,1975,Fat,36
Palm oil,Oils,1975,Fat,72
Peas,Pulses,1975,Fat,20
Pepper,Vegetables,1975,Fat,0
Pimento,Spices & stimulants,1975,Fat,47
Pineapples,Fruits,1975,Fat,3
Potatoes,Starchy roots,1975,Fat,63
Pulses (other),Pulses,1975,Fat,96
Rape & mustard,Spices & stimulants,1975,Fat,45
Rice,Cereals,1975,Fat,118
Roots (other),Starchy roots,1975,Fat,31
Rye,Cereals,1975,Fat,17
Sesame ,Oils,1975,Fat,56
Sorghum,Cereals,1975,Fat,47
Soybean,Oils,1975,Fat,109
Spices (other),Spices & stimulants,1975,Fat,60
Sugar,Sweeteners,1975,Fat,8
Sunflower,Oils,1975,Fat,60
Sweet potatoes,Starchy roots,1975,Fat,33
Sweeteners (other),Sweeteners,1975,Fat,1
Tea,Spices & stimulants,1975,Fat,0
Tomatoes,Vegetables,1975,Fat,54
Treenuts,Oils,1975,Fat,96
Vegetables (other),Vegetables,1975,Fat,137
Wheat,Cereals,1975,Fat,146
Yams,Starchy roots,1975,Fat,18
Alcoholic beverages,Alcoholic beverages,1975,Protein,0
Animal Products (Total),Animal Products,1975,Protein,152
Apples,Fruits,1975,Protein,41
Bananas & plantains,Fruits,1975,Protein,117
Barley & beer,Alcoholic beverages,1975,Protein,120
Beans,Pulses,1975,Protein,99
Cassava,Starchy roots,1975,Protein,71
Cereals (other),Cereals ,1975,Protein,62
Citrus (other),Fruits,1975,Protein,6
Cloves,Spices & stimulants,1975,Protein,0
Cocoa beans,Spices & stimulants,1975,Protein,70
Coconuts,Oils,1975,Protein,58
Coffee,Spices & stimulants,1975,Protein,88
Cottonseed oil,Oils,1975,Protein,0
Dates,Fruits,1975,Protein,17
Fermented beverages,Alcoholic beverages,1975,Protein,29
Fruits (other),Fruits,1975,Protein,139
Grapefruit,Fruits,1975,Protein,11
Grapes & wine,Alcoholic beverages,1975,Protein,45
Groundnut,Oils,1975,Protein,110
Lemons & limes,Fruits,1975,Protein,11
Maize,Cereals,1975,Protein,124
Millets,Cereals,1975,Protein,46
Miscellaneous,Miscellaneous,1975,Protein,57
Oats,Cereals,1975,Protein,47
Oilcrops (other),Oils,1975,Protein,26
Olives,Oils,1975,Protein,9
Onions,Vegetables,1975,Protein,95
Oranges & mandarines,Fruits,1975,Protein,84
Palm oil,Oils,1975,Protein,3
Peas,Pulses,1975,Protein,62
Pepper,Vegetables,1975,Protein,5
Pimento,Spices & stimulants,1975,Protein,44
Pineapples,Fruits,1975,Protein,11
Potatoes,Starchy roots,1975,Protein,120
Pulses (other),Pulses,1975,Protein,125
Rape & mustard,Spices & stimulants,1975,Protein,19
Rice,Cereals,1975,Protein,149
Roots (other),Starchy roots,1975,Protein,55
Rye,Cereals,1975,Protein,28
Sesame ,Oils,1975,Protein,37
Sorghum,Cereals,1975,Protein,49
Soybean,Oils,1975,Protein,44
Spices (other),Spices & stimulants,1975,Protein,51
Sugar,Sweeteners,1975,Protein,17
Sunflower,Oils,1975,Protein,5
Sweet potatoes,Starchy roots,1975,Protein,60
Sweeteners (other),Sweeteners,1975,Protein,1
Tea,Spices & stimulants,1975,Protein,72
Tomatoes,Vegetables,1975,Protein,90
Treenuts,Oils,1975,Protein,72
Vegetables (other),Vegetables,1975,Protein,152
Wheat,Cereals,1975,Protein,152
Yams,Starchy roots,1975,Protein,36
Alcoholic beverages,Alcoholic beverages,1975,Food Weight,131
Animal Products (Total),Animal Products,1975,Food Weight,152
Apples,Fruits,1975,Food Weight,95
Bananas & plantains,Fruits,1975,Food Weight,141
Barley & beer,Alcoholic beverages,1975,Food Weight,145
Beans,Pulses,1975,Food Weight,100
Cassava,Starchy roots,1975,Food Weight,87
Cereals (other),Cereals ,1975,Food Weight,80
Citrus (other),Fruits,1975,Food Weight,38
Cloves,Spices & stimulants,1975,Food Weight,3
Cocoa beans,Spices & stimulants,1975,Food Weight,91
Coconuts,Oils,1975,Food Weight,107
Coffee,Spices & stimulants,1975,Food Weight,120
Cottonseed oil,Oils,1975,Food Weight,70
Dates,Fruits,1975,Food Weight,50
Fermented beverages,Alcoholic beverages,1975,Food Weight,67
Fruits (other),Fruits,1975,Food Weight,152
Grapefruit,Fruits,1975,Food Weight,77
Grapes & wine,Alcoholic beverages,1975,Food Weight,128
Groundnut,Oils,1975,Food Weight,128
Lemons & limes,Fruits,1975,Food Weight,84
Maize,Cereals,1975,Food Weight,131
Millets,Cereals,1975,Food Weight,47
Miscellaneous,Miscellaneous,1975,Food Weight,0
Oats,Cereals,1975,Food Weight,57
Oilcrops (other),Oils,1975,Food Weight,104
Olives,Oils,1975,Food Weight,53
Onions,Vegetables,1975,Food Weight,123
Oranges & mandarines,Fruits,1975,Food Weight,122
Palm oil,Oils,1975,Food Weight,67
Peas,Pulses,1975,Food Weight,65
Pepper,Vegetables,1975,Food Weight,47
Pimento,Spices & stimulants,1975,Food Weight,57
Pineapples,Fruits,1975,Food Weight,84
Potatoes,Starchy roots,1975,Food Weight,139
Pulses (other),Pulses,1975,Food Weight,127
Rape & mustard,Spices & stimulants,1975,Food Weight,40
Rice,Cereals,1975,Food Weight,150
Roots (other),Starchy roots,1975,Food Weight,74
Rye,Cereals,1975,Food Weight,37
Sesame ,Oils,1975,Food Weight,53
Sorghum,Cereals,1975,Food Weight,50
Soybean,Oils,1975,Food Weight,105
Spices (other),Spices & stimulants,1975,Food Weight,89
Sugar,Sweeteners,1975,Food Weight,152
Sunflower,Oils,1975,Food Weight,58
Sweet potatoes,Starchy roots,1975,Food Weight,93
Sweeteners (other),Sweeteners,1975,Food Weight,104
Tea,Spices & stimulants,1975,Food Weight,100
Tomatoes,Vegetables,1975,Food Weight,121
Treenuts,Oils,1975,Food Weight,103
Vegetables (other),Vegetables,1975,Food Weight,152
Wheat,Cereals,1975,Food Weight,152
Yams,Starchy roots,1975,Food Weight,43
Alcoholic beverages,Alcoholic beverages,1976,Calories,129
Animal Products (Total),Animal Products,1976,Calories,152
Apples,Fruits,1976,Calories,81
Bananas & plantains,Fruits,1976,Calories,132
Barley & beer,Alcoholic beverages,1976,Calories,141
Beans,Pulses,1976,Calories,101
Cassava,Starchy roots,1976,Calories,84
Cereals (other),Cereals ,1976,Calories,76
Citrus (other),Fruits,1976,Calories,21
Cloves,Spices & stimulants,1976,Calories,4
Cocoa beans,Spices & stimulants,1976,Calories,90
Coconuts,Oils,1976,Calories,111
Coffee,Spices & stimulants,1976,Calories,84
Cottonseed oil,Oils,1976,Calories,71
Dates,Fruits,1976,Calories,36
Fermented beverages,Alcoholic beverages,1976,Calories,47
Fruits (other),Fruits,1976,Calories,152
Grapefruit,Fruits,1976,Calories,43
Grapes & wine,Alcoholic beverages,1976,Calories,103
Groundnut,Oils,1976,Calories,132
Lemons & limes,Fruits,1976,Calories,53
Maize,Cereals,1976,Calories,132
Millets,Cereals,1976,Calories,48
Miscellaneous,Miscellaneous,1976,Calories,77
Oats,Cereals,1976,Calories,56
Oilcrops (other),Oils,1976,Calories,109
Olives,Oils,1976,Calories,67
Onions,Vegetables,1976,Calories,112
Oranges & mandarines,Fruits,1976,Calories,112
Palm oil,Oils,1976,Calories,69
Peas,Pulses,1976,Calories,68
Pepper,Vegetables,1976,Calories,37
Pimento,Spices & stimulants,1976,Calories,57
Pineapples,Fruits,1976,Calories,69
Potatoes,Starchy roots,1976,Calories,135
Pulses (other),Pulses,1976,Calories,125
Rape & mustard,Spices & stimulants,1976,Calories,40
Rice,Cereals,1976,Calories,150
Roots (other),Starchy roots,1976,Calories,69
Rye,Cereals,1976,Calories,36
Sesame ,Oils,1976,Calories,59
Sorghum,Cereals,1976,Calories,48
Soybean,Oils,1976,Calories,109
Spices (other),Spices & stimulants,1976,Calories,87
Sugar,Sweeteners,1976,Calories,152
Sunflower,Oils,1976,Calories,61
Sweet potatoes,Starchy roots,1976,Calories,83
Sweeteners (other),Sweeteners,1976,Calories,107
Tea,Spices & stimulants,1976,Calories,49
Tomatoes,Vegetables,1976,Calories,104
Treenuts,Oils,1976,Calories,101
Vegetables (other),Vegetables,1976,Calories,152
Wheat,Cereals,1976,Calories,151
Yams,Starchy roots,1976,Calories,43
Alcoholic beverages,Alcoholic beverages,1976,Fat,0
Animal Products (Total),Animal Products,1976,Fat,152
Apples,Fruits,1976,Fat,41
Bananas & plantains,Fruits,1976,Fat,61
Barley & beer,Alcoholic beverages,1976,Fat,21
Beans,Pulses,1976,Fat,59
Cassava,Starchy roots,1976,Fat,49
Cereals (other),Cereals ,1976,Fat,25
Citrus (other),Fruits,1976,Fat,5
Cloves,Spices & stimulants,1976,Fat,2
Cocoa beans,Spices & stimulants,1976,Fat,89
Coconuts,Oils,1976,Fat,111
Coffee,Spices & stimulants,1976,Fat,0
Cottonseed oil,Oils,1976,Fat,71
Dates,Fruits,1976,Fat,11
Fermented beverages,Alcoholic beverages,1976,Fat,2
Fruits (other),Fruits,1976,Fat,137
Grapefruit,Fruits,1976,Fat,3
Grapes & wine,Alcoholic beverages,1976,Fat,23
Groundnut,Oils,1976,Fat,132
Lemons & limes,Fruits,1976,Fat,11
Maize,Cereals,1976,Fat,121
Millets,Cereals,1976,Fat,40
Miscellaneous,Miscellaneous,1976,Fat,24
Oats,Cereals,1976,Fat,30
Oilcrops (other),Oils,1976,Fat,111
Olives,Oils,1976,Fat,69
Onions,Vegetables,1976,Fat,17
Oranges & mandarines,Fruits,1976,Fat,32
Palm oil,Oils,1976,Fat,69
Peas,Pulses,1976,Fat,15
Pepper,Vegetables,1976,Fat,0
Pimento,Spices & stimulants,1976,Fat,50
Pineapples,Fruits,1976,Fat,2
Potatoes,Starchy roots,1976,Fat,62
Pulses (other),Pulses,1976,Fat,94
Rape & mustard,Spices & stimulants,1976,Fat,40
Rice,Cereals,1976,Fat,121
Roots (other),Starchy roots,1976,Fat,31
Rye,Cereals,1976,Fat,18
Sesame ,Oils,1976,Fat,59
Sorghum,Cereals,1976,Fat,46
Soybean,Oils,1976,Fat,109
Spices (other),Spices & stimulants,1976,Fat,59
Sugar,Sweeteners,1976,Fat,7
Sunflower,Oils,1976,Fat,62
Sweet potatoes,Starchy roots,1976,Fat,32
Sweeteners (other),Sweeteners,1976,Fat,1
Tea,Spices & stimulants,1976,Fat,0
Tomatoes,Vegetables,1976,Fat,55
Treenuts,Oils,1976,Fat,96
Vegetables (other),Vegetables,1976,Fat,136
Wheat,Cereals,1976,Fat,149
Yams,Starchy roots,1976,Fat,19
Alcoholic beverages,Alcoholic beverages,1976,Protein,0
Animal Products (Total),Animal Products,1976,Protein,152
Apples,Fruits,1976,Protein,39
Bananas & plantains,Fruits,1976,Protein,119
Barley & beer,Alcoholic beverages,1976,Protein,121
Beans,Pulses,1976,Protein,99
Cassava,Starchy roots,1976,Protein,70
Cereals (other),Cereals ,1976,Protein,61
Citrus (other),Fruits,1976,Protein,8
Cloves,Spices & stimulants,1976,Protein,0
Cocoa beans,Spices & stimulants,1976,Protein,69
Coconuts,Oils,1976,Protein,57
Coffee,Spices & stimulants,1976,Protein,86
Cottonseed oil,Oils,1976,Protein,1
Dates,Fruits,1976,Protein,18
Fermented beverages,Alcoholic beverages,1976,Protein,31
Fruits (other),Fruits,1976,Protein,141
Grapefruit,Fruits,1976,Protein,11
Grapes & wine,Alcoholic beverages,1976,Protein,46
Groundnut,Oils,1976,Protein,108
Lemons & limes,Fruits,1976,Protein,12
Maize,Cereals,1976,Protein,125
Millets,Cereals,1976,Protein,47
Miscellaneous,Miscellaneous,1976,Protein,57
Oats,Cereals,1976,Protein,47
Oilcrops (other),Oils,1976,Protein,28
Olives,Oils,1976,Protein,11
Onions,Vegetables,1976,Protein,96
Oranges & mandarines,Fruits,1976,Protein,82
Palm oil,Oils,1976,Protein,3
Peas,Pulses,1976,Protein,65
Pepper,Vegetables,1976,Protein,7
Pimento,Spices & stimulants,1976,Protein,47
Pineapples,Fruits,1976,Protein,11
Potatoes,Starchy roots,1976,Protein,122
Pulses (other),Pulses,1976,Protein,124
Rape & mustard,Spices & stimulants,1976,Protein,18
Rice,Cereals,1976,Protein,149
Roots (other),Starchy roots,1976,Protein,54
Rye,Cereals,1976,Protein,28
Sesame ,Oils,1976,Protein,38
Sorghum,Cereals,1976,Protein,48
Soybean,Oils,1976,Protein,44
Spices (other),Spices & stimulants,1976,Protein,50
Sugar,Sweeteners,1976,Protein,16
Sunflower,Oils,1976,Protein,6
Sweet potatoes,Starchy roots,1976,Protein,62
Sweeteners (other),Sweeteners,1976,Protein,0
Tea,Spices & stimulants,1976,Protein,72
Tomatoes,Vegetables,1976,Protein,91
Treenuts,Oils,1976,Protein,74
Vegetables (other),Vegetables,1976,Protein,152
Wheat,Cereals,1976,Protein,151
Yams,Starchy roots,1976,Protein,35
Alcoholic beverages,Alcoholic beverages,1976,Food Weight,131
Animal Products (Total),Animal Products,1976,Food Weight,152
Apples,Fruits,1976,Food Weight,98
Bananas & plantains,Fruits,1976,Food Weight,141
Barley & beer,Alcoholic beverages,1976,Food Weight,145
Beans,Pulses,1976,Food Weight,101
Cassava,Starchy roots,1976,Food Weight,84
Cereals (other),Cereals ,1976,Food Weight,81
Citrus (other),Fruits,1976,Food Weight,39
Cloves,Spices & stimulants,1976,Food Weight,5
Cocoa beans,Spices & stimulants,1976,Food Weight,92
Coconuts,Oils,1976,Food Weight,112
Coffee,Spices & stimulants,1976,Food Weight,121
Cottonseed oil,Oils,1976,Food Weight,66
Dates,Fruits,1976,Food Weight,46
Fermented beverages,Alcoholic beverages,1976,Food Weight,67
Fruits (other),Fruits,1976,Food Weight,152
Grapefruit,Fruits,1976,Food Weight,76
Grapes & wine,Alcoholic beverages,1976,Food Weight,130
Groundnut,Oils,1976,Food Weight,130
Lemons & limes,Fruits,1976,Food Weight,86
Maize,Cereals,1976,Food Weight,132
Millets,Cereals,1976,Food Weight,48
Miscellaneous,Miscellaneous,1976,Food Weight,0
Oats,Cereals,1976,Food Weight,58
Oilcrops (other),Oils,1976,Food Weight,104
Olives,Oils,1976,Food Weight,54
Onions,Vegetables,1976,Food Weight,122
Oranges & mandarines,Fruits,1976,Food Weight,123
Palm oil,Oils,1976,Food Weight,64
Peas,Pulses,1976,Food Weight,68
Pepper,Vegetables,1976,Food Weight,45
Pimento,Spices & stimulants,1976,Food Weight,61
Pineapples,Fruits,1976,Food Weight,85
Potatoes,Starchy roots,1976,Food Weight,141
Pulses (other),Pulses,1976,Food Weight,125
Rape & mustard,Spices & stimulants,1976,Food Weight,39
Rice,Cereals,1976,Food Weight,150
Roots (other),Starchy roots,1976,Food Weight,77
Rye,Cereals,1976,Food Weight,37
Sesame ,Oils,1976,Food Weight,53
Sorghum,Cereals,1976,Food Weight,48
Soybean,Oils,1976,Food Weight,107
Spices (other),Spices & stimulants,1976,Food Weight,93
Sugar,Sweeteners,1976,Food Weight,152
Sunflower,Oils,1976,Food Weight,57
Sweet potatoes,Starchy roots,1976,Food Weight,93
Sweeteners (other),Sweeteners,1976,Food Weight,111
Tea,Spices & stimulants,1976,Food Weight,102
Tomatoes,Vegetables,1976,Food Weight,121
Treenuts,Oils,1976,Food Weight,104
Vegetables (other),Vegetables,1976,Food Weight,152
Wheat,Cereals,1976,Food Weight,151
Yams,Starchy roots,1976,Food Weight,43
Alcoholic beverages,Alcoholic beverages,1977,Calories,132
Animal Products (Total),Animal Products,1977,Calories,152
Apples,Fruits,1977,Calories,84
Bananas & plantains,Fruits,1977,Calories,132
Barley & beer,Alcoholic beverages,1977,Calories,142
Beans,Pulses,1977,Calories,102
Cassava,Starchy roots,1977,Calories,84
Cereals (other),Cereals ,1977,Calories,74
Citrus (other),Fruits,1977,Calories,21
Cloves,Spices & stimulants,1977,Calories,6
Cocoa beans,Spices & stimulants,1977,Calories,90
Coconuts,Oils,1977,Calories,109
Coffee,Spices & stimulants,1977,Calories,84
Cottonseed oil,Oils,1977,Calories,72
Dates,Fruits,1977,Calories,38
Fermented beverages,Alcoholic beverages,1977,Calories,47
Fruits (other),Fruits,1977,Calories,152
Grapefruit,Fruits,1977,Calories,42
Grapes & wine,Alcoholic beverages,1977,Calories,104
Groundnut,Oils,1977,Calories,129
Lemons & limes,Fruits,1977,Calories,51
Maize,Cereals,1977,Calories,131
Millets,Cereals,1977,Calories,48
Miscellaneous,Miscellaneous,1977,Calories,80
Oats,Cereals,1977,Calories,55
Oilcrops (other),Oils,1977,Calories,113
Olives,Oils,1977,Calories,64
Onions,Vegetables,1977,Calories,112
Oranges & mandarines,Fruits,1977,Calories,113
Palm oil,Oils,1977,Calories,70
Peas,Pulses,1977,Calories,69
Pepper,Vegetables,1977,Calories,39
Pimento,Spices & stimulants,1977,Calories,57
Pineapples,Fruits,1977,Calories,70
Potatoes,Starchy roots,1977,Calories,136
Pulses (other),Pulses,1977,Calories,126
Rape & mustard,Spices & stimulants,1977,Calories,44
Rice,Cereals,1977,Calories,150
Roots (other),Starchy roots,1977,Calories,67
Rye,Cereals,1977,Calories,35
Sesame ,Oils,1977,Calories,62
Sorghum,Cereals,1977,Calories,48
Soybean,Oils,1977,Calories,114
Spices (other),Spices & stimulants,1977,Calories,90
Sugar,Sweeteners,1977,Calories,152
Sunflower,Oils,1977,Calories,64
Sweet potatoes,Starchy roots,1977,Calories,84
Sweeteners (other),Sweeteners,1977,Calories,106
Tea,Spices & stimulants,1977,Calories,53
Tomatoes,Vegetables,1977,Calories,104
Treenuts,Oils,1977,Calories,99
Vegetables (other),Vegetables,1977,Calories,152
Wheat,Cereals,1977,Calories,151
Yams,Starchy roots,1977,Calories,43
Alcoholic beverages,Alcoholic beverages,1977,Fat,0
Animal Products (Total),Animal Products,1977,Fat,152
Apples,Fruits,1977,Fat,43
Bananas & plantains,Fruits,1977,Fat,67
Barley & beer,Alcoholic beverages,1977,Fat,18
Beans,Pulses,1977,Fat,59
Cassava,Starchy roots,1977,Fat,50
Cereals (other),Cereals ,1977,Fat,30
Citrus (other),Fruits,1977,Fat,6
Cloves,Spices & stimulants,1977,Fat,3
Cocoa beans,Spices & stimulants,1977,Fat,87
Coconuts,Oils,1977,Fat,111
Coffee,Spices & stimulants,1977,Fat,0
Cottonseed oil,Oils,1977,Fat,72
Dates,Fruits,1977,Fat,11
Fermented beverages,Alcoholic beverages,1977,Fat,2
Fruits (other),Fruits,1977,Fat,137
Grapefruit,Fruits,1977,Fat,2
Grapes & wine,Alcoholic beverages,1977,Fat,23
Groundnut,Oils,1977,Fat,128
Lemons & limes,Fruits,1977,Fat,12
Maize,Cereals,1977,Fat,124
Millets,Cereals,1977,Fat,40
Miscellaneous,Miscellaneous,1977,Fat,30
Oats,Cereals,1977,Fat,31
Oilcrops (other),Oils,1977,Fat,114
Olives,Oils,1977,Fat,68
Onions,Vegetables,1977,Fat,19
Oranges & mandarines,Fruits,1977,Fat,36
Palm oil,Oils,1977,Fat,70
Peas,Pulses,1977,Fat,20
Pepper,Vegetables,1977,Fat,0
Pimento,Spices & stimulants,1977,Fat,51
Pineapples,Fruits,1977,Fat,2
Potatoes,Starchy roots,1977,Fat,62
Pulses (other),Pulses,1977,Fat,90
Rape & mustard,Spices & stimulants,1977,Fat,44
Rice,Cereals,1977,Fat,123
Roots (other),Starchy roots,1977,Fat,31
Rye,Cereals,1977,Fat,19
Sesame ,Oils,1977,Fat,61
Sorghum,Cereals,1977,Fat,46
Soybean,Oils,1977,Fat,114
Spices (other),Spices & stimulants,1977,Fat,59
Sugar,Sweeteners,1977,Fat,8
Sunflower,Oils,1977,Fat,64
Sweet potatoes,Starchy roots,1977,Fat,30
Sweeteners (other),Sweeteners,1977,Fat,1
Tea,Spices & stimulants,1977,Fat,0
Tomatoes,Vegetables,1977,Fat,56
Treenuts,Oils,1977,Fat,94
Vegetables (other),Vegetables,1977,Fat,138
Wheat,Cereals,1977,Fat,148
Yams,Starchy roots,1977,Fat,19
Alcoholic beverages,Alcoholic beverages,1977,Protein,1
Animal Products (Total),Animal Products,1977,Protein,152
Apples,Fruits,1977,Protein,37
Bananas & plantains,Fruits,1977,Protein,116
Barley & beer,Alcoholic beverages,1977,Protein,121
Beans,Pulses,1977,Protein,102
Cassava,Starchy roots,1977,Protein,67
Cereals (other),Cereals ,1977,Protein,61
Citrus (other),Fruits,1977,Protein,7
Cloves,Spices & stimulants,1977,Protein,0
Cocoa beans,Spices & stimulants,1977,Protein,64
Coconuts,Oils,1977,Protein,58
Coffee,Spices & stimulants,1977,Protein,87
Cottonseed oil,Oils,1977,Protein,1
Dates,Fruits,1977,Protein,17
Fermented beverages,Alcoholic beverages,1977,Protein,28
Fruits (other),Fruits,1977,Protein,142
Grapefruit,Fruits,1977,Protein,12
Grapes & wine,Alcoholic beverages,1977,Protein,48
Groundnut,Oils,1977,Protein,112
Lemons & limes,Fruits,1977,Protein,14
Maize,Cereals,1977,Protein,123
Millets,Cereals,1977,Protein,46
Miscellaneous,Miscellaneous,1977,Protein,58
Oats,Cereals,1977,Protein,48
Oilcrops (other),Oils,1977,Protein,31
Olives,Oils,1977,Protein,11
Onions,Vegetables,1977,Protein,95
Oranges & mandarines,Fruits,1977,Protein,83
Palm oil,Oils,1977,Protein,3
Peas,Pulses,1977,Protein,65
Pepper,Vegetables,1977,Protein,5
Pimento,Spices & stimulants,1977,Protein,47
Pineapples,Fruits,1977,Protein,10
Potatoes,Starchy roots,1977,Protein,124
Pulses (other),Pulses,1977,Protein,125
Rape & mustard,Spices & stimulants,1977,Protein,18
Rice,Cereals,1977,Protein,150
Roots (other),Starchy roots,1977,Protein,53
Rye,Cereals,1977,Protein,28
Sesame ,Oils,1977,Protein,38
Sorghum,Cereals,1977,Protein,47
Soybean,Oils,1977,Protein,42
Spices (other),Spices & stimulants,1977,Protein,48
Sugar,Sweeteners,1977,Protein,16
Sunflower,Oils,1977,Protein,7
Sweet potatoes,Starchy roots,1977,Protein,60
Sweeteners (other),Sweeteners,1977,Protein,0
Tea,Spices & stimulants,1977,Protein,73
Tomatoes,Vegetables,1977,Protein,92
Treenuts,Oils,1977,Protein,78
Vegetables (other),Vegetables,1977,Protein,152
Wheat,Cereals,1977,Protein,151
Yams,Starchy roots,1977,Protein,35
Alcoholic beverages,Alcoholic beverages,1977,Food Weight,133
Animal Products (Total),Animal Products,1977,Food Weight,152
Apples,Fruits,1977,Food Weight,98
Bananas & plantains,Fruits,1977,Food Weight,141
Barley & beer,Alcoholic beverages,1977,Food Weight,145
Beans,Pulses,1977,Food Weight,102
Cassava,Starchy roots,1977,Food Weight,84
Cereals (other),Cereals ,1977,Food Weight,78
Citrus (other),Fruits,1977,Food Weight,41
Cloves,Spices & stimulants,1977,Food Weight,6
Cocoa beans,Spices & stimulants,1977,Food Weight,91
Coconuts,Oils,1977,Food Weight,111
Coffee,Spices & stimulants,1977,Food Weight,129
Cottonseed oil,Oils,1977,Food Weight,69
Dates,Fruits,1977,Food Weight,47
Fermented beverages,Alcoholic beverages,1977,Food Weight,67
Fruits (other),Fruits,1977,Food Weight,152
Grapefruit,Fruits,1977,Food Weight,76
Grapes & wine,Alcoholic beverages,1977,Food Weight,130
Groundnut,Oils,1977,Food Weight,128
Lemons & limes,Fruits,1977,Food Weight,87
Maize,Cereals,1977,Food Weight,130
Millets,Cereals,1977,Food Weight,48
Miscellaneous,Miscellaneous,1977,Food Weight,0
Oats,Cereals,1977,Food Weight,56
Oilcrops (other),Oils,1977,Food Weight,106
Olives,Oils,1977,Food Weight,52
Onions,Vegetables,1977,Food Weight,120
Oranges & mandarines,Fruits,1977,Food Weight,122
Palm oil,Oils,1977,Food Weight,69
Peas,Pulses,1977,Food Weight,69
Pepper,Vegetables,1977,Food Weight,52
Pimento,Spices & stimulants,1977,Food Weight,59
Pineapples,Fruits,1977,Food Weight,89
Potatoes,Starchy roots,1977,Food Weight,139
Pulses (other),Pulses,1977,Food Weight,127
Rape & mustard,Spices & stimulants,1977,Food Weight,41
Rice,Cereals,1977,Food Weight,150
Roots (other),Starchy roots,1977,Food Weight,78
Rye,Cereals,1977,Food Weight,35
Sesame ,Oils,1977,Food Weight,55
Sorghum,Cereals,1977,Food Weight,48
Soybean,Oils,1977,Food Weight,109
Spices (other),Spices & stimulants,1977,Food Weight,94
Sugar,Sweeteners,1977,Food Weight,152
Sunflower,Oils,1977,Food Weight,61
Sweet potatoes,Starchy roots,1977,Food Weight,93
Sweeteners (other),Sweeteners,1977,Food Weight,110
Tea,Spices & stimulants,1977,Food Weight,97
Tomatoes,Vegetables,1977,Food Weight,120
Treenuts,Oils,1977,Food Weight,101
Vegetables (other),Vegetables,1977,Food Weight,152
Wheat,Cereals,1977,Food Weight,151
Yams,Starchy roots,1977,Food Weight,43
Alcoholic beverages,Alcoholic beverages,1978,Calories,128
Animal Products (Total),Animal Products,1978,Calories,152
Apples,Fruits,1978,Calories,87
Bananas & plantains,Fruits,1978,Calories,133
Barley & beer,Alcoholic beverages,1978,Calories,141
Beans,Pulses,1978,Calories,102
Cassava,Starchy roots,1978,Calories,83
Cereals (other),Cereals ,1978,Calories,79
Citrus (other),Fruits,1978,Calories,21
Cloves,Spices & stimulants,1978,Calories,4
Cocoa beans,Spices & stimulants,1978,Calories,85
Coconuts,Oils,1978,Calories,110
Coffee,Spices & stimulants,1978,Calories,85
Cottonseed oil,Oils,1978,Calories,71
Dates,Fruits,1978,Calories,41
Fermented beverages,Alcoholic beverages,1978,Calories,48
Fruits (other),Fruits,1978,Calories,152
Grapefruit,Fruits,1978,Calories,43
Grapes & wine,Alcoholic beverages,1978,Calories,103
Groundnut,Oils,1978,Calories,130
Lemons & limes,Fruits,1978,Calories,49
Maize,Cereals,1978,Calories,132
Millets,Cereals,1978,Calories,49
Miscellaneous,Miscellaneous,1978,Calories,82
Oats,Cereals,1978,Calories,55
Oilcrops (other),Oils,1978,Calories,107
Olives,Oils,1978,Calories,69
Onions,Vegetables,1978,Calories,111
Oranges & mandarines,Fruits,1978,Calories,113
Palm oil,Oils,1978,Calories,70
Peas,Pulses,1978,Calories,69
Pepper,Vegetables,1978,Calories,39
Pimento,Spices & stimulants,1978,Calories,60
Pineapples,Fruits,1978,Calories,73
Potatoes,Starchy roots,1978,Calories,136
Pulses (other),Pulses,1978,Calories,128
Rape & mustard,Spices & stimulants,1978,Calories,44
Rice,Cereals,1978,Calories,151
Roots (other),Starchy roots,1978,Calories,67
Rye,Cereals,1978,Calories,35
Sesame ,Oils,1978,Calories,58
Sorghum,Cereals,1978,Calories,51
Soybean,Oils,1978,Calories,115
Spices (other),Spices & stimulants,1978,Calories,94
Sugar,Sweeteners,1978,Calories,152
Sunflower,Oils,1978,Calories,68
Sweet potatoes,Starchy roots,1978,Calories,84
Sweeteners (other),Sweeteners,1978,Calories,112
Tea,Spices & stimulants,1978,Calories,48
Tomatoes,Vegetables,1978,Calories,103
Treenuts,Oils,1978,Calories,101
Vegetables (other),Vegetables,1978,Calories,152
Wheat,Cereals,1978,Calories,151
Yams,Starchy roots,1978,Calories,43
Alcoholic beverages,Alcoholic beverages,1978,Fat,0
Animal Products (Total),Animal Products,1978,Fat,152
Apples,Fruits,1978,Fat,41
Bananas & plantains,Fruits,1978,Fat,66
Barley & beer,Alcoholic beverages,1978,Fat,21
Beans,Pulses,1978,Fat,60
Cassava,Starchy roots,1978,Fat,51
Cereals (other),Cereals ,1978,Fat,27
Citrus (other),Fruits,1978,Fat,6
Cloves,Spices & stimulants,1978,Fat,2
Cocoa beans,Spices & stimulants,1978,Fat,85
Coconuts,Oils,1978,Fat,113
