Item,FoodGroup,Year,Measurement,NoCountries
Lemons & limes,Fruits,1961,Protein,9
Maize,Cereals,1961,Protein,117
Millets,Cereals,1961,Protein,48
Miscellaneous,Miscellaneous,1961,Protein,26
Oats,Cereals,1961,Protein,48
Oilcrops (other),Oils,1961,Protein,20
Olives,Oils,1961,Protein,9
Onions,Vegetables,1961,Protein,94
Oranges & mandarines,Fruits,1961,Protein,71
Palm oil,Oils,1961,Protein,4
Peas,Pulses,1961,Protein,65
Pepper,Vegetables,1961,Protein,4
Pimento,Spices & stimulants,1961,Protein,40
Pineapples,Fruits,1961,Protein,8
Potatoes,Starchy roots,1961,Protein,119
Pulses (other),Pulses,1961,Protein,123
Rape & mustard,Spices & stimulants,1961,Protein,15
Rice,Cereals,1961,Protein,147
Roots (other),Starchy roots,1961,Protein,56
Rye,Cereals,1961,Protein,36
Sesame ,Oils,1961,Protein,30
Sorghum,Cereals,1961,Protein,47
Soybean,Oils,1961,Protein,26
Spices (other),Spices & stimulants,1961,Protein,35
Sugar,Sweeteners,1961,Protein,21
Sunflower,Oils,1961,Protein,3
Sweet potatoes,Starchy roots,1961,Protein,67
Sweeteners (other),Sweeteners,1961,Protein,1
Tea,Spices & stimulants,1961,Protein,61
Tomatoes,Vegetables,1961,Protein,81
Treenuts,Oils,1961,Protein,65
Vegetables (other),Vegetables,1961,Protein,151
Wheat,Cereals,1961,Protein,151
Yams,Starchy roots,1961,Protein,36
Alcoholic beverages,Alcoholic beverages,1961,Food Weight,122
Animal Products (Total),Animal Products,1961,Food Weight,152
Apples,Fruits,1961,Food Weight,96
Bananas & plantains,Fruits,1961,Food Weight,132
Barley & beer,Alcoholic beverages,1961,Food Weight,144
Beans,Pulses,1961,Food Weight,95
Cassava,Starchy roots,1961,Food Weight,84
Cereals (other),Cereals ,1961,Food Weight,66
Citrus (other),Fruits,1961,Food Weight,29
Cloves,Spices & stimulants,1961,Food Weight,1
Cocoa beans,Spices & stimulants,1961,Food Weight,84
Coconuts,Oils,1961,Food Weight,108
Coffee,Spices & stimulants,1961,Food Weight,108
Cottonseed oil,Oils,1961,Food Weight,66
Dates,Fruits,1961,Food Weight,52
Fermented beverages,Alcoholic beverages,1961,Food Weight,56
Fruits (other),Fruits,1961,Food Weight,150
