ItemName,ElementName,UnitName,AvgValue61to63,61-63percentoftotal,AvgValue07to09,07-09percentoftotal,change 2009-1961,absoluteChange,change of relative percent 2009-1961,relativeChange,Use
Peas,Fat,g/capita/day,0.02,0.00%,0.03,0.00%,0.01,27.20%,0.00%,-14.90%,
Peas,Food Weight,g/capita/day,1.69,0.10%,2.1,0.10%,0.41,24.50%,0.00%,-0.90%,
Peas,Protein,g/capita/day,0.38,0.60%,0.47,0.60%,0.09,24.30%,0.00%,-1.60%,
Pepper,Calories,kcal/capita/day,0.18,0.00%,0.72,0.00%,0.53,289.70%,0.00%,218.90%,
Pepper,Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Pepper,Food Weight,g/capita/day,0.08,0.00%,0.27,0.00%,0.2,261.20%,0.00%,187.60%,
Pepper,Protein,g/capita/day,0,0.00%,0.02,0.00%,0.02,869.30%,0.00%,667.00%,
Pimento,Calories,kcal/capita/day,1.84,0.10%,3.24,0.10%,1.4,76.20%,0.00%,44.20%,
Pimento,Fat,g/capita/day,0.08,0.10%,0.15,0.20%,0.07,90.20%,0.00%,27.20%,
Pimento,Food Weight,g/capita/day,0.65,0.00%,1.08,0.10%,0.44,67.90%,0.00%,33.70%,
Pimento,Protein,g/capita/day,0.07,0.10%,0.13,0.20%,0.06,75.40%,0.00%,38.80%,
Pineapples,Calories,kcal/capita/day,1.25,0.10%,3.43,0.10%,2.17,173.30%,0.10%,123.70%,
Pineapples,Fat,g/capita/day,0,0.00%,0,0.00%,0,16.70%,0.00%,-22.00%,
Pineapples,Food Weight,g/capita/day,3.76,0.30%,8.51,0.50%,4.75,126.40%,0.20%,80.20%,
Pineapples,Protein,g/capita/day,0.01,0.00%,0.02,0.00%,0.01,172.30%,0.00%,115.40%,
Potatoes,Calories,kcal/capita/day,47.67,2.10%,52.8,1.90%,5.13,10.80%,-0.20%,-9.40%,1
Potatoes,Fat,g/capita/day,0.08,0.10%,0.08,0.10%,0.01,9.90%,0.00%,-26.50%,
Potatoes,Food Weight,g/capita/day,70.05,4.80%,79.25,4.40%,9.2,13.10%,-0.50%,-9.90%,1
Potatoes,Protein,g/capita/day,1.15,1.90%,1.2,1.60%,0.05,4.80%,-0.30%,-17.10%,1
Pulses (other),Calories,kcal/capita/day,31.31,1.40%,29.33,1.10%,-1.98,-6.30%,-0.30%,-23.30%,1
Pulses (other),Fat,g/capita/day,0.2,0.40%,0.19,0.20%,-0.02,-8.10%,-0.10%,-38.60%,
Pulses (other),Food Weight,g/capita/day,9.24,0.60%,8.62,0.50%,-0.63,-6.80%,-0.20%,-25.80%,
Pulses (other),Protein,g/capita/day,2.01,3.30%,1.9,2.40%,-0.11,-5.60%,-0.80%,-25.30%,1
Rape & mustard,Calories,kcal/capita/day,4.46,0.20%,21.84,0.80%,17.37,389.10%,0.60%,300.20%,
Rape & mustard,Fat,g/capita/day,0.49,0.90%,2.41,2.90%,1.92,389.20%,2.00%,227.10%,1
Rape & mustard,Food Weight,g/capita/day,0.54,0.00%,2.68,0.10%,2.14,393.40%,0.10%,292.90%,
Rape & mustard,Protein,g/capita/day,0.01,0.00%,0.07,0.10%,0.06,402.20%,0.10%,297.40%,
Rice,Calories,kcal/capita/day,261.11,11.50%,328.83,11.90%,67.71,25.90%,0.40%,3.00%,1
Rice,Fat,g/capita/day,0.66,1.20%,0.84,1.00%,0.18,27.30%,-0.20%,-14.90%,1
Rice,Food Weight,g/capita/day,72.8,5.00%,91.14,5.00%,18.35,25.20%,0.00%,-0.30%,1
Rice,Protein,g/capita/day,5.1,8.30%,6.38,8.20%,1.29,25.30%,-0.10%,-0.90%,1
Roots (other),Calories,kcal/capita/day,32.54,1.40%,23.25,0.80%,-9.29,-28.50%,-0.60%,-41.50%,1
Roots (other),Fat,g/capita/day,0.07,0.10%,0.05,0.10%,-0.02,-32.20%,-0.10%,-54.70%,
Roots (other),Food Weight,g/capita/day,37.16,2.60%,25.83,1.40%,-11.33,-30.50%,-1.10%,-44.70%,1
Roots (other),Protein,g/capita/day,0.57,0.90%,0.4,0.50%,-0.17,-30.00%,-0.40%,-44.60%,
Rye,Calories,kcal/capita/day,20.49,0.90%,7.37,0.30%,-13.12,-64.00%,-0.60%,-70.60%,
Rye,Fat,g/capita/day,0.07,0.10%,0.03,0.00%,-0.05,-64.00%,-0.10%,-75.90%,
Rye,Food Weight,g/capita/day,7.54,0.50%,2.66,0.10%,-4.87,-64.60%,-0.40%,-71.90%,
Rye,Protein,g/capita/day,0.53,0.90%,0.19,0.20%,-0.33,-63.70%,-0.60%,-71.30%,
Sesame,Calories,kcal/capita/day,4.45,0.20%,7.75,0.30%,3.3,74.20%,0.10%,42.50%,
Sesame,Fat,g/capita/day,0.44,0.80%,0.73,0.90%,0.29,64.80%,0.10%,10.20%,
Sesame,Food Weight,g/capita/day,0.65,0.00%,1.21,0.10%,0.56,86.10%,0.00%,48.20%,
Sesame,Protein,g/capita/day,0.08,0.10%,0.17,0.20%,0.1,133.30%,0.10%,84.60%,
Sorghum,Calories,kcal/capita/day,61.55,2.70%,35.1,1.30%,-26.45,-43.00%,-1.40%,-53.30%,1
