ItemName,CountryName,ElementName,UnitName,20092011Average
Apples,Cambodia,Calories,kcal/capita/day,0
Apples,Cambodia,Food Weight,g/capita/day,0
Apples,Cambodia,Protein,g/capita/day,0
Apples,Cameroon,Fat,g/capita/day,0
Apples,Cameroon,Calories,kcal/capita/day,0
Apples,Cameroon,Food Weight,g/capita/day,1
Apples,Cameroon,Protein,g/capita/day,0
Apples,Canada,Fat,g/capita/day,0.166666667
Apples,Canada,Calories,kcal/capita/day,26.33333333
Apples,Canada,Food Weight,g/capita/day,58
Apples,Canada,Protein,g/capita/day,0.1
Apples,Central African Republic,Fat,g/capita/day,0
Apples,Central African Republic,Calories,kcal/capita/day,0
Apples,Central African Republic,Food Weight,g/capita/day,0
Apples,Central African Republic,Protein,g/capita/day,0
Apples,Chad,Fat,g/capita/day,0
Apples,Chad,Calories,kcal/capita/day,0
Apples,Chad,Food Weight,g/capita/day,0
Apples,Chad,Protein,g/capita/day,0
Apples,Chile,Fat,g/capita/day,0.1
Apples,Chile,Calories,kcal/capita/day,15.33333333
Apples,Chile,Food Weight,g/capita/day,30.33333333
Apples,Chile,Protein,g/capita/day,0.1
Apples,"China, Hong Kong SAR",Fat,g/capita/day,0.033333333
Apples,"China, Hong Kong SAR",Calories,kcal/capita/day,9.666666667
Apples,"China, Hong Kong SAR",Food Weight,g/capita/day,26
Apples,"China, Hong Kong SAR",Protein,g/capita/day,0.1
Apples,"China, Macao SAR",Fat,g/capita/day,0
Apples,"China, Macao SAR",Calories,kcal/capita/day,3.666666667
Apples,"China, Macao SAR",Food Weight,g/capita/day,9.666666667
Apples,"China, Macao SAR",Protein,g/capita/day,0
Apples,"China, mainland",Fat,g/capita/day,0.1
Apples,"China, mainland",Calories,kcal/capita/day,18.66666667
Apples,"China, mainland",Food Weight,g/capita/day,45
Apples,"China, mainland",Protein,g/capita/day,0.133333333
Apples,"China, Taiwan Province of",Fat,g/capita/day,0
Apples,"China, Taiwan Province of",Calories,kcal/capita/day,7.333333333
Apples,"China, Taiwan Province of",Food Weight,g/capita/day,19
Apples,"China, Taiwan Province of",Protein,g/capita/day,0
Apples,Colombia,Fat,g/capita/day,0
Apples,Colombia,Calories,kcal/capita/day,2.666666667
Apples,Colombia,Food Weight,g/capita/day,5.333333333
Apples,Colombia,Protein,g/capita/day,0
Apples,Congo,Fat,g/capita/day,0
Apples,Congo,Calories,kcal/capita/day,0
Apples,Congo,Food Weight,g/capita/day,0.333333333
Apples,Congo,Protein,g/capita/day,0
Apples,Costa Rica,Fat,g/capita/day,0
Apples,Costa Rica,Calories,kcal/capita/day,7
Apples,Costa Rica,Food Weight,g/capita/day,25
Apples,Costa Rica,Protein,g/capita/day,0
Apples,C“te d'Ivoire,Fat,g/capita/day,0
Apples,C“te d'Ivoire,Calories,kcal/capita/day,0
Apples,C“te d'Ivoire,Food Weight,g/capita/day,1
Apples,C“te d'Ivoire,Protein,g/capita/day,0
Apples,Croatia,Fat,g/capita/day,0.2
Apples,Croatia,Calories,kcal/capita/day,28.66666667
Apples,Croatia,Food Weight,g/capita/day,63
Apples,Croatia,Protein,g/capita/day,0.1
Apples,Cuba,Fat,g/capita/day,0
Apples,Cuba,Calories,kcal/capita/day,0
Apples,Cuba,Food Weight,g/capita/day,1
Apples,Cuba,Protein,g/capita/day,0
Apples,Cyprus,Fat,g/capita/day,0
Apples,Cyprus,Calories,kcal/capita/day,13.33333333
Apples,Cyprus,Food Weight,g/capita/day,37.33333333
Apples,Cyprus,Protein,g/capita/day,0.066666667
Apples,Czech Republic,Fat,g/capita/day,0.1
Apples,Czech Republic,Calories,kcal/capita/day,15.66666667
Apples,Czech Republic,Food Weight,g/capita/day,35.66666667
Apples,Czech Republic,Protein,g/capita/day,0
Apples,Democratic People's Republic of Korea,Fat,g/capita/day,0.2
Apples,Democratic People's Republic of Korea,Calories,kcal/capita/day,31.66666667
Apples,Democratic People's Republic of Korea,Food Weight,g/capita/day,75.33333333
Apples,Democratic People's Republic of Korea,Protein,g/capita/day,0.2
Apples,Denmark,Fat,g/capita/day,0.1
Apples,Denmark,Calories,kcal/capita/day,20.33333333
Apples,Denmark,Food Weight,g/capita/day,49
Apples,Denmark,Protein,g/capita/day,0.1
Apples,Djibouti,Fat,g/capita/day,0
Apples,Djibouti,Calories,kcal/capita/day,0.333333333
Apples,Djibouti,Food Weight,g/capita/day,1
Apples,Djibouti,Protein,g/capita/day,0
Apples,Dominica,Fat,g/capita/day,0
Apples,Dominica,Calories,kcal/capita/day,8
Apples,Dominica,Food Weight,g/capita/day,20
Apples,Dominica,Protein,g/capita/day,0
Apples,Dominican Republic,Fat,g/capita/day,0
Apples,Dominican Republic,Calories,kcal/capita/day,2
Apples,Dominican Republic,Food Weight,g/capita/day,3.666666667
Apples,Dominican Republic,Protein,g/capita/day,0
Apples,Ecuador,Fat,g/capita/day,0
Apples,Ecuador,Calories,kcal/capita/day,5.666666667
Apples,Ecuador,Food Weight,g/capita/day,10.66666667
Apples,Ecuador,Protein,g/capita/day,0
Apples,Egypt,Fat,g/capita/day,0
Apples,Egypt,Calories,kcal/capita/day,9.333333333
