CountryName,Abbrev,ElementName,Year,Count
Trin. & Tob.,Trinidad and Tobago,Calories,1961,33
Tunisia,Tunisia,Calories,1961,31
Turkey,Turkey,Calories,1961,30
Uganda,Uganda,Calories,1961,29
Un. Arab Em.,United Arab Emirates,Calories,1961,9
UK,United Kingdom,Calories,1961,38
Tanzania,United Republic of Tanzania,Calories,1961,29
USA,United States of America,Calories,1961,44
Uruguay,Uruguay,Calories,1961,32
USSR,USSR,Calories,1961,29
Vanuatu,Vanuatu,Calories,1961,16
Venezuela,Venezuela (Bolivarian Republic of),Calories,1961,37
Vietnam,Viet Nam,Calories,1961,22
Yemen,Yemen,Calories,1961,20
Yugoslavia,Yugoslav SFR,Calories,1961,29
Zambia,Zambia,Calories,1961,24
Zimbabwe,Zimbabwe,Calories,1961,23
Albania,Albania,Calories,1962,19
Algeria,Algeria,Calories,1962,29
Angola,Angola,Calories,1962,27
Ant. & Barb.,Antigua and Barbuda,Calories,1962,22
Argentina,Argentina,Calories,1962,37
Australia,Australia,Calories,1962,35
Austria,Austria,Calories,1962,37
Bahamas,Bahamas,Calories,1962,27
Bangladesh,Bangladesh,Calories,1962,26
Barbados,Barbados,Calories,1962,31
Belg-Lux,Belgium-Luxembourg,Calories,1962,38
Belize,Belize,Calories,1962,24
Benin,Benin,Calories,1962,30
Bermuda,Bermuda,Calories,1962,27
Bolivia,Bolivia (Plurinational State of),Calories,1962,31
Botswana,Botswana,Calories,1962,20
Brazil,Brazil,Calories,1962,34
Brunei Dar.,Brunei Darussalam,Calories,1962,26
Bulgaria,Bulgaria,Calories,1962,25
Burkina Faso,Burkina Faso,Calories,1962,23
Burundi,Burundi,Calories,1962,22
Cambodia,Cambodia,Calories,1962,25
Cameroon,Cameroon,Calories,1962,31
Canada,Canada,Calories,1962,39
Cape Verde,Cape Verde,Calories,1962,22
C. Af. Rep,Central African Republic,Calories,1962,24
Chad,Chad,Calories,1962,25
Chile,Chile,Calories,1962,30
China,China,Calories,1962,34
Colombia,Colombia,Calories,1962,28
Comoros,Comoros,Calories,1962,13
Congo,Congo,Calories,1962,29
Costa Rica,Costa Rica,Calories,1962,27
Ivory Coast,C“te d'Ivoire,Calories,1962,31
Cuba,Cuba,Calories,1962,26
Cyprus,Cyprus,Calories,1962,35
Czech.,Czechoslovakia,Calories,1962,35
North Korea,Democratic People's Republic of Korea,Calories,1962,21
Denmark,Denmark,Calories,1962,35
Djibouti,Djibouti,Calories,1962,13
Dominica,Dominica,Calories,1962,28
Dom. Rep.,Dominican Republic,Calories,1962,33
Ecuador,Ecuador,Calories,1962,36
Egypt,Egypt,Calories,1962,31
El Salvador,El Salvador,Calories,1962,27
Ethiopia,Ethiopia PDR,Calories,1962,29
Fiji,Fiji,Calories,1962,28
Finland,Finland,Calories,1962,29
France,France,Calories,1962,38
Frch. Polyn.,French Polynesia,Calories,1962,30
Gabon,Gabon,Calories,1962,22
Gambia,Gambia,Calories,1962,19
Germany,Germany,Calories,1962,38
Ghana,Ghana,Calories,1962,30
Greece,Greece,Calories,1962,32
Grenada,Grenada,Calories,1962,32
Guatemala,Guatemala,Calories,1962,27
Guinea,Guinea,Calories,1962,24
Guinea-Biss.,Guinea-Bissau,Calories,1962,23
Guyana,Guyana,Calories,1962,25
Haiti,Haiti,Calories,1962,29
Honduras,Honduras,Calories,1962,27
Hungary,Hungary,Calories,1962,26
Iceland,Iceland,Calories,1962,29
India,India,Calories,1962,30
Indonesia,Indonesia,Calories,1962,22
Iran,Iran (Islamic Republic of),Calories,1962,27
Ireland,Ireland,Calories,1962,31
Israel,Israel,Calories,1962,37
Italy,Italy,Calories,1962,34
Jamaica,Jamaica,Calories,1962,33
Japan,Japan,Calories,1962,38
Jordan,Jordan,Calories,1962,27
Kenya,Kenya,Calories,1962,29
Kiribati,Kiribati,Calories,1962,12
Kuwait,Kuwait,Calories,1962,26
Laos,Lao People's Democratic Republic,Calories,1962,22
Lebanon,Lebanon,Calories,1962,32
Lesotho,Lesotho,Calories,1962,15
Liberia,Liberia,Calories,1962,27
Libya,Libya,Calories,1962,27
Madagascar,Madagascar,Calories,1962,31
Malawi,Malawi,Calories,1962,21
Malaysia,Malaysia,Calories,1962,36
Maldives,Maldives,Calories,1962,13
Mali,Mali,Calories,1962,22
Malta,Malta,Calories,1962,33
Mauritania,Mauritania,Calories,1962,20
Mauritius,Mauritius,Calories,1962,31
Mexico,Mexico,Calories,1962,37
Mongolia,Mongolia,Calories,1962,12
Morocco,Morocco,Calories,1962,36
Mozambique,Mozambique,Calories,1962,27
Myanmar,Myanmar,Calories,1962,25
Namibia,Namibia,Calories,1962,12
Nepal,Nepal,Calories,1962,16
Netherlands,Netherlands,Calories,1962,31
New Caledon.,New Caledonia,Calories,1962,22
New Zealand,New Zealand,Calories,1962,32
Nicaragua,Nicaragua,Calories,1962,26
Niger,Niger,Calories,1962,20
Nigeria,Nigeria,Calories,1962,30
Norway,Norway,Calories,1962,31
Pakistan,Pakistan,Calories,1962,28
Panama,Panama,Calories,1962,33
Paraguay,Paraguay,Calories,1962,31
Peru,Peru,Calories,1962,35
Philippines,Philippines,Calories,1962,31
Poland,Poland,Calories,1962,25
Portugal,Portugal,Calories,1962,29
South Korea,Republic of Korea,Calories,1962,24
Romania,Romania,Calories,1962,23
Rwanda,Rwanda,Calories,1962,18
St. Kitts,Saint Kitts and Nevis,Calories,1962,21
Saint Lucia,Saint Lucia,Calories,1962,25
St. Vincent,Saint Vincent and the Grenadines,Calories,1962,30
Samoa,Samoa,Calories,1962,19
Sao Tome,Sao Tome and Principe,Calories,1962,21
Saudi Arabia,Saudi Arabia,Calories,1962,30
Senegal,Senegal,Calories,1962,30
Seychelles,Seychelles,Calories,1962,25
Sierra Leone,Sierra Leone,Calories,1962,31
Solomon Isl.,Solomon Islands,Calories,1962,19
South Africa,South Africa,Calories,1962,38
Spain,Spain,Calories,1962,35
Sri Lanka,Sri Lanka,Calories,1962,34
Sudan,Sudan (former),Calories,1962,31
Suriname,Suriname,Calories,1962,26
Swaziland,Swaziland,Calories,1962,22
Sweden,Sweden,Calories,1962,31
Switzerland,Switzerland,Calories,1962,42
Syria,Syrian Arab Republic,Calories,1962,30
Thailand,Thailand,Calories,1962,23
Timor-Leste,Timor-Leste,Calories,1962,21
Togo,Togo,Calories,1962,29
Trin. & Tob.,Trinidad and Tobago,Calories,1962,32
Tunisia,Tunisia,Calories,1962,31
Turkey,Turkey,Calories,1962,29
Uganda,Uganda,Calories,1962,29
Un. Arab Em.,United Arab Emirates,Calories,1962,9
UK,United Kingdom,Calories,1962,37
Tanzania,United Republic of Tanzania,Calories,1962,31
USA,United States of America,Calories,1962,44
Uruguay,Uruguay,Calories,1962,31
USSR,USSR,Calories,1962,29
Vanuatu,Vanuatu,Calories,1962,17
Venezuela,Venezuela (Bolivarian Republic of),Calories,1962,36
Vietnam,Viet Nam,Calories,1962,23
Yemen,Yemen,Calories,1962,21
Yugoslavia,Yugoslav SFR,Calories,1962,32
Zambia,Zambia,Calories,1962,25
Zimbabwe,Zimbabwe,Calories,1962,24
Albania,Albania,Calories,1963,19
Algeria,Algeria,Calories,1963,28
Angola,Angola,Calories,1963,26
Ant. & Barb.,Antigua and Barbuda,Calories,1963,23
Argentina,Argentina,Calories,1963,37
Australia,Australia,Calories,1963,39
Austria,Austria,Calories,1963,37
Bahamas,Bahamas,Calories,1963,27
Bangladesh,Bangladesh,Calories,1963,26
Barbados,Barbados,Calories,1963,30
Belg-Lux,Belgium-Luxembourg,Calories,1963,37
Belize,Belize,Calories,1963,23
Benin,Benin,Calories,1963,30
Bermuda,Bermuda,Calories,1963,27
Bolivia,Bolivia (Plurinational State of),Calories,1963,31
Botswana,Botswana,Calories,1963,20
Brazil,Brazil,Calories,1963,33
Brunei Dar.,Brunei Darussalam,Calories,1963,29
Bulgaria,Bulgaria,Calories,1963,25
Burkina Faso,Burkina Faso,Calories,1963,24
Burundi,Burundi,Calories,1963,22
Cambodia,Cambodia,Calories,1963,26
Cameroon,Cameroon,Calories,1963,31
Canada,Canada,Calories,1963,40
Cape Verde,Cape Verde,Calories,1963,21
C. Af. Rep,Central African Republic,Calories,1963,25
Chad,Chad,Calories,1963,25
Chile,Chile,Calories,1963,30
China,China,Calories,1963,34
Colombia,Colombia,Calories,1963,28
Comoros,Comoros,Calories,1963,13
Congo,Congo,Calories,1963,28
Costa Rica,Costa Rica,Calories,1963,27
Ivory Coast,C“te d'Ivoire,Calories,1963,32
Cuba,Cuba,Calories,1963,27
Cyprus,Cyprus,Calories,1963,36
Czech.,Czechoslovakia,Calories,1963,36
North Korea,Democratic People's Republic of Korea,Calories,1963,21
Denmark,Denmark,Calories,1963,36
Djibouti,Djibouti,Calories,1963,13
Dominica,Dominica,Calories,1963,28
Dom. Rep.,Dominican Republic,Calories,1963,34
Ecuador,Ecuador,Calories,1963,38
Egypt,Egypt,Calories,1963,31
El Salvador,El Salvador,Calories,1963,27
Ethiopia,Ethiopia PDR,Calories,1963,31
Fiji,Fiji,Calories,1963,29
Finland,Finland,Calories,1963,31
France,France,Calories,1963,38
Frch. Polyn.,French Polynesia,Calories,1963,29
Gabon,Gabon,Calories,1963,22
Gambia,Gambia,Calories,1963,19
Germany,Germany,Calories,1963,38
Ghana,Ghana,Calories,1963,29
Greece,Greece,Calories,1963,34
Grenada,Grenada,Calories,1963,33
Guatemala,Guatemala,Calories,1963,27
Guinea,Guinea,Calories,1963,24
Guinea-Biss.,Guinea-Bissau,Calories,1963,24
Guyana,Guyana,Calories,1963,26
Haiti,Haiti,Calories,1963,30
Honduras,Honduras,Calories,1963,27
Hungary,Hungary,Calories,1963,31
Iceland,Iceland,Calories,1963,26
India,India,Calories,1963,31
Indonesia,Indonesia,Calories,1963,23
Iran,Iran (Islamic Republic of),Calories,1963,26
Ireland,Ireland,Calories,1963,33
Israel,Israel,Calories,1963,38
Italy,Italy,Calories,1963,35
Jamaica,Jamaica,Calories,1963,35
Japan,Japan,Calories,1963,38
Jordan,Jordan,Calories,1963,31
Kenya,Kenya,Calories,1963,31
Kiribati,Kiribati,Calories,1963,12
Kuwait,Kuwait,Calories,1963,27
Laos,Lao People's Democratic Republic,Calories,1963,22
Lebanon,Lebanon,Calories,1963,34
Lesotho,Lesotho,Calories,1963,15
Liberia,Liberia,Calories,1963,26
Libya,Libya,Calories,1963,30
Madagascar,Madagascar,Calories,1963,32
Malawi,Malawi,Calories,1963,21
Malaysia,Malaysia,Calories,1963,35
Maldives,Maldives,Calories,1963,13
Mali,Mali,Calories,1963,21
Malta,Malta,Calories,1963,32
Mauritania,Mauritania,Calories,1963,19
Mauritius,Mauritius,Calories,1963,31
Mexico,Mexico,Calories,1963,38
Mongolia,Mongolia,Calories,1963,12
Morocco,Morocco,Calories,1963,37
Mozambique,Mozambique,Calories,1963,28
Myanmar,Myanmar,Calories,1963,25
Namibia,Namibia,Calories,1963,12
Nepal,Nepal,Calories,1963,16
Netherlands,Netherlands,Calories,1963,31
New Caledon.,New Caledonia,Calories,1963,27
New Zealand,New Zealand,Calories,1963,36
Nicaragua,Nicaragua,Calories,1963,24
Niger,Niger,Calories,1963,20
Nigeria,Nigeria,Calories,1963,30
Norway,Norway,Calories,1963,31
Pakistan,Pakistan,Calories,1963,28
Panama,Panama,Calories,1963,34
Paraguay,Paraguay,Calories,1963,30
Peru,Peru,Calories,1963,36
Philippines,Philippines,Calories,1963,30
Poland,Poland,Calories,1963,25
Portugal,Portugal,Calories,1963,29
South Korea,Republic of Korea,Calories,1963,25
Romania,Romania,Calories,1963,24
Rwanda,Rwanda,Calories,1963,18
St. Kitts,Saint Kitts and Nevis,Calories,1963,21
Saint Lucia,Saint Lucia,Calories,1963,25
St. Vincent,Saint Vincent and the Grenadines,Calories,1963,30
Samoa,Samoa,Calories,1963,19
Sao Tome,Sao Tome and Principe,Calories,1963,21
Saudi Arabia,Saudi Arabia,Calories,1963,30
Senegal,Senegal,Calories,1963,29
Seychelles,Seychelles,Calories,1963,25
Sierra Leone,Sierra Leone,Calories,1963,31
Solomon Isl.,Solomon Islands,Calories,1963,20
South Africa,South Africa,Calories,1963,38
Spain,Spain,Calories,1963,36
Sri Lanka,Sri Lanka,Calories,1963,34
Sudan,Sudan (former),Calories,1963,32
Suriname,Suriname,Calories,1963,26
Swaziland,Swaziland,Calories,1963,22
Sweden,Sweden,Calories,1963,31
Switzerland,Switzerland,Calories,1963,42
Syria,Syrian Arab Republic,Calories,1963,29
Thailand,Thailand,Calories,1963,22
Timor-Leste,Timor-Leste,Calories,1963,20
Togo,Togo,Calories,1963,29
Trin. & Tob.,Trinidad and Tobago,Calories,1963,32
Tunisia,Tunisia,Calories,1963,30
Turkey,Turkey,Calories,1963,30
Uganda,Uganda,Calories,1963,28
Un. Arab Em.,United Arab Emirates,Calories,1963,9
UK,United Kingdom,Calories,1963,39
Tanzania,United Republic of Tanzania,Calories,1963,33
USA,United States of America,Calories,1963,44
